place_id,nombre,telefono,direccion,municipio,latitud,longitud,categoria_principal,categorias_detectadas_busqueda,subcategorias_sugeridas,business_status,google_types
ChIJM0Lty2wqHYwR_xrctmXUk_A,Supreme Beauty Salon,(787) 840-1165,"1867 Las Américas Ave, Ponce, 00728, Puerto Rico",Ponce,18.005997,-66.63389959999999,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJ4chZX6DVHIwRy2jXqZmwuV0,The Beauty Lab by Paola Estefania,(787) 223-4611,"Coliseo Shopping Center, 2525 Av. Eduardo Ruberte Oficina 205, Ponce, 00728, Puerto Rico",Ponce,18.0005917,-66.6338178,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cuidado Capilar|Bienestar|Cabello,OPERATIONAL,beauty_salon|establishment|hair_care|health|point_of_interest
ChIJXVwR1fIpHYwRZMm5KS6Sp94,Sarts Beauty Salón,(787) 404-0781,"Cll Morena 44 C, Ponce, 00716, Puerto Rico",Ponce,17.9800165,-66.6188131,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJlYwzXqgrHYwRsVfwWnPl-FA,NOVA LADY SALON,(939) 992-9462,"1581 Ave Muñoz Rivera local 1, Ponce, 00717, Puerto Rico",Ponce,18.0057436,-66.62069749999999,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJV_vOyd3VHIwRqJo0fj5eg1o,Y Salón “The House of Colors” 𝙱𝚢: 𝚈𝚘𝚢𝚖𝚊𝚛 𝙱𝚘𝚛𝚛𝚎𝚛𝚘,(787) 313-7430,"64 C. Comercio, Ponce, 00717, Puerto Rico",Ponce,18.0103056,-66.61028780000001,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJqy-vc3YqHYwRTY3LkthViMI,Marylin's Beauty Salon,(787) 464-0576,"Calle Capitán Correa, 1675 Esq. Villa Suite 2, Ponce, 00717, Puerto Rico",Ponce,18.0098361,-66.6193462,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJ2WiOa5krHYwRWPy9eV1HtKE,Mel Rose Creations Beauty Lounge,(939) 390-0409,"443 C. Victoria, Ponce, 00716, Puerto Rico",Ponce,18.0116551,-66.6322222,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJzRQEK0ZvA4wRB9JWeY8FaOg,Beyond Salon,(787) 722-4603,"1400 Av. Magdalena Suite 3, San Juan, 00907, Puerto Rico",San Juan,18.4542233,-66.0671291,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cuidado Capilar|Bienestar|Cabello,OPERATIONAL,beauty_salon|establishment|hair_care|health|point_of_interest
ChIJi0ttx38rHYwRC26Lmvkm1Vk,Angie's Beauty Club,(787) 454-1469,"Urb, Av. Punto Oro, Ponce, 00728, Puerto Rico",Ponce,17.9953284,-66.6477585,Spas,Salones de Belleza|Esteticas,Salon de Belleza|Spa,OPERATIONAL,beauty_salon|establishment|point_of_interest|spa
ChIJ9yvQMhHVHIwRlbjSD8ZZz40,Nua Parlor & Spa,(787) 840-3551,"Urb, 112 Cll Fatima #112, Ponce, 00730, Puerto Rico",Ponce,18.038417,-66.5857278,Spas,Salones de Belleza|Spas|Esteticas,Salon de Belleza,OPERATIONAL,beauty_salon|establishment|point_of_interest
