nombre,telefono,direccion,latitud,longitud,municipio,categoria,subCategorias,activo,google_place_id_posible_match
Supreme Beauty Salon,(787) 840-1165,"1867 Las Américas Ave, Ponce, 00728, Puerto Rico",18.005997,-66.63389959999999,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJM0Lty2wqHYwR_xrctmXUk_A
The Beauty Lab by Paola Estefania,(787) 223-4611,"Coliseo Shopping Center, 2525 Av. Eduardo Ruberte Oficina 205, Ponce, 00728, Puerto Rico",18.0005917,-66.6338178,Ponce,Salones de Belleza,"Salon de Belleza, Cuidado Capilar, Bienestar, Cabello",true,ChIJ4chZX6DVHIwRy2jXqZmwuV0
Sarts Beauty Salón,(787) 404-0781,"Cll Morena 44 C, Ponce, 00716, Puerto Rico",17.9800165,-66.6188131,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJXVwR1fIpHYwRZMm5KS6Sp94
NOVA LADY SALON,(939) 992-9462,"1581 Ave Muñoz Rivera local 1, Ponce, 00717, Puerto Rico",18.0057436,-66.62069749999999,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJlYwzXqgrHYwRsVfwWnPl-FA
Y Salón “The House of Colors” 𝙱𝚢: 𝚈𝚘𝚢𝚖𝚊𝚛 𝙱𝚘𝚛𝚛𝚎𝚛𝚘,(787) 313-7430,"64 C. Comercio, Ponce, 00717, Puerto Rico",18.0103056,-66.61028780000001,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJV_vOyd3VHIwRqJo0fj5eg1o
Marylin's Beauty Salon,(787) 464-0576,"Calle Capitán Correa, 1675 Esq. Villa Suite 2, Ponce, 00717, Puerto Rico",18.0098361,-66.6193462,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJqy-vc3YqHYwRTY3LkthViMI
Mel Rose Creations Beauty Lounge,(939) 390-0409,"443 C. Victoria, Ponce, 00716, Puerto Rico",18.0116551,-66.6322222,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ2WiOa5krHYwRWPy9eV1HtKE
Beyond Salon,(787) 722-4603,"1400 Av. Magdalena Suite 3, San Juan, 00907, Puerto Rico",18.4542233,-66.0671291,San Juan,Salones de Belleza,"Salon de Belleza, Cuidado Capilar, Bienestar, Cabello",true,ChIJzRQEK0ZvA4wRB9JWeY8FaOg
Angie's Beauty Club,(787) 454-1469,"Urb, Av. Punto Oro, Ponce, 00728, Puerto Rico",17.9953284,-66.6477585,Ponce,Spas,"Salon de Belleza, Spa",true,ChIJi0ttx38rHYwRC26Lmvkm1Vk
Nua Parlor & Spa,(787) 840-3551,"Urb, 112 Cll Fatima #112, Ponce, 00730, Puerto Rico",18.038417,-66.5857278,Ponce,Spas,Salon de Belleza,true,ChIJ9yvQMhHVHIwRlbjSD8ZZz40
M Salon,(787) 812-3113,"1591 Paseo Mercedita suite 117 Plaza Nuevo Mundo, Boulevard Pou, Ponce, 00717, Puerto Rico",18.0067071,-66.5958699,Ponce,Salones de Belleza,"Salon de Belleza, Tienda, Cabello",true,ChIJV2K5yZPVHIwRaEMmdYipj40
MS Salon,(787) 929-0303,"Perla del sur, 2435 Paseo Perla del Sur suite 101, Ponce, 00717, Puerto Rico",17.9963677,-66.6256549,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ84Wl4w4qHYwRfeHKhb4TU4I
Oops! Gossip Studio,(787) 535-8004,"2350, 1400 Ponce Bypass Suite 127, Ponce, 00716, Puerto Rico",17.9952292,-66.6227035,Ponce,Salones de Belleza,"Salon de Belleza, Cuidado Capilar",true,ChIJq2q9AffVHIwRjnIEB5_jOvA
K&L The Beauty Room,(939) 731-7156,"1573 Av. Muñoz Rivera, Ponce, 00717, Puerto Rico",18.0053593,-66.62077260000001,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ61_Zj-ErHYwR2eDL-F3IYW0
Poliniza Beauty Lab,(787) 908-4317,"Urb. Punto Oro, C. el Gallardo, Ponce, 00728, Puerto Rico",17.994776,-66.6461407,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJRWpxJBUrHYwR5QhJcocsXT0
Ilas Salon,(787) 361-6155,"78 Calle Prol Vives, Ponce, 00731, Puerto Rico",18.014091,-66.614633,Ponce,Salones de Belleza,"Salon de Belleza, Cuidado Capilar, Cabello",true,ChIJczjUHojVHIwR9IyxqT5LmhY
Amada Beauty Salón,(939) 257-5952,"1260 Av. Muñoz Rivera, Ponce, 00717, Puerto Rico",18.0012622,-66.6207817,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJo__GdI0rHYwRq5hFvZ-4oXo
Saline Salon,(939) 338-1176,"66 C. Luisa, San Juan, 00907, Puerto Rico",18.4540815,-66.07386029999999,San Juan,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ99RkcTdvA4wR4dWgkCaEtXc
Velvet Salon & Spa,(787) 775-1130,"1111 Avenida F.D. Roosevelt, San Juan, 00920, Puerto Rico",18.4148052,-66.0822225,San Juan,Spas,Salon de Belleza,true,ChIJzQ0zfO9oA4wRvvh0dB2L1VU
