place_id,nombre,municipio,motivo,business_status
ChIJryhj1hnVHIwRaG1ZWO5WB7o,Elite Experience Esthetics & Spa,Ponce,missing_phone,OPERATIONAL
ChIJFxQwRrzVHIwRnYVSDvu5TQE,Fermoui Salon,Ponce,missing_phone,OPERATIONAL
ChIJZ0pWlXsrHYwR8CoJoNN92u4,Elite Room Studio,Ponce,missing_phone,OPERATIONAL
ChIJp8PABtsrHYwRzkuxVpT0bQE,Beauty Studio by Tiffany,Ponce,missing_phone,OPERATIONAL
ChIJVc-9_dzVHIwRfZRhhWlR1JE,Susana Salon,Ponce,missing_phone,OPERATIONAL
ChIJ02HS34fVHIwRgf1Rz80Cn8c,Milenium Barber Shop,Ponce,missing_phone,OPERATIONAL
ChIJl95okMUrHYwRIv3MJglPR4E,Maelo Barber,Ponce,missing_phone,OPERATIONAL
ChIJQViIbi7VHIwRsXE5FSPtJ8I,The Brother Barber Cuts,Ponce,missing_phone,OPERATIONAL
ChIJ0wWpAyfVHIwRy36sUQNTEr8,Handsome Barber Shop,Ponce,missing_phone,OPERATIONAL
ChIJ10_vadIrHYwRQCSzFZuWwBQ,Men’s Studio by Mariner Barber,Ponce,missing_phone,OPERATIONAL
ChIJrbQcfgTVHIwR7dH9QAQeYZQ,JL Barbershop,Ponce,missing_phone,OPERATIONAL
ChIJ8_g_fm4qHYwRzsSigtlZZ5g,Quiñones HairStyle,Ponce,missing_phone,OPERATIONAL
ChIJ25r5TN3VHIwRBLebiBV8EfI,Tavo's Hair Desing,Ponce,missing_phone,OPERATIONAL
ChIJKQrEkGotHYwR9tNgR7bDXDI,Flow Barbershop,Peñuelas,missing_phone,OPERATIONAL
ChIJv6ie_exvA4wRLWypMURz5ek,The Barber Place by Jheri,San Juan,missing_phone,OPERATIONAL
ChIJm6nee3LVHIwRNi4be6fA5UY,The Cove Skin Spa,Ponce,missing_phone,OPERATIONAL
ChIJpQlxdmKdBIwRCHaVApATkUc,The Rainforest Spa,Zarzal,missing_phone,OPERATIONAL
ChIJqeQKHbs3HYwR5nyAyFis7dg,Ni Spa at Copamarina,Guánica,missing_phone,OPERATIONAL
ChIJNcvNo9ErHYwRJC_QXnF6y_g,Onassis Salon,Ponce,missing_phone,OPERATIONAL
ChIJsbZ5dcXVHIwRJHx6diXz4XU,Estética Brasilera,Ponce,missing_phone,OPERATIONAL
ChIJCwFFEG3VHIwRSFASGi8TTdk,Dispensario De Metadona,Ponce,missing_phone,OPERATIONAL
ChIJM-s2qG4qHYwR87xscXE85ws,Coliseo Gym,Ponce,missing_phone,OPERATIONAL
ChIJ__IjPQArHYwReu3KnaFtkJA,Blue Wave Fitness,Ponce,missing_phone,OPERATIONAL
ChIJ3ZXiNQDVHIwRgEkI7UzNeG4,StrongHer by IP,Ponce,missing_phone,OPERATIONAL
ChIJgRerXwArHYwRPVWLsrY0NT4,Gimnasio secretaría,Ponce,missing_phone,OPERATIONAL
ChIJxcCrzbHXHIwRx8kLDiD_1H0,La guancha exercise park,Ponce,missing_phone,OPERATIONAL
ChIJSxmzt7MrHYwRVqVKq4zCVdk,Alpha Fitness,Ponce,missing_phone,OPERATIONAL
ChIJafj_HbErHYwRDZwlqQydmHU,V Studio - Yoga and Pilates,Ponce,missing_phone,OPERATIONAL
ChIJ0fPdm5TVHIwRgOqO9LlFLHs,Cancha Constancia,Ponce,missing_phone,OPERATIONAL
ChIJN9CVuWQxA4wRgAu_eySnx_A,Fuerza Fitness Orocovis,Orocovis,missing_phone,OPERATIONAL
ChIJU03hAxnVHIwRuciC4J3tEMM,Susana Boutique,Ponce,missing_phone,OPERATIONAL
ChIJ575UWKbVHIwRqiAsX2D518Y,LA LOLA BOUTIQUE,Ponce,missing_phone,OPERATIONAL
ChIJW0rpRM8ZA4wRrCDZYkqyvek,Vous Mode Boutique & Vous Mode Boutique Plus,Manatí,missing_phone,OPERATIONAL
ChIJh5St09nnAowRDwnmPJkHUmE,Lola Boutique,Hatillo,missing_phone,OPERATIONAL
