nombre,telefono,direccion,latitud,longitud,municipio,categoria
Wings & Fries Co. - Morovis,,"PR-137 KM 13.7, Morovis, 00687, Puerto Rico",18.3279415,-66.4235672,Morovis,Restaurantes
Big Krazy,,"8HCR+2WR, Morovis, 00687, Puerto Rico",18.320121,-66.40772299999999,Morovis,Restaurantes
El Barrilito Bar & Rest.,,"PR-137, Morovis, 00687, Puerto Rico",18.3326482,-66.4275265,Morovis,Restaurantes
"Casa Bavaria @ Morovis, PR",,"State Rte 155, Morovis, 00687, Puerto Rico",18.2838914,-66.40095219999999,Morovis,Restaurantes
La Ruta Bar & Restaurant,,"622-652 Cll Armando Mejías, Morovis, 00687, Puerto Rico",18.3400715,-66.4214248,Morovis,Restaurantes
Molcajete Morovis,,"Km. 2.2 PR-6622, Morovis, 00687, Puerto Rico",18.3228791,-66.405656,Morovis,Restaurantes
Lechonera BAJARI,,"Carretera 155, Bo km 44.8, Morovis, 00687, Puerto Rico",18.3105752,-66.4088769,Morovis,Restaurantes
Grandpa's Seasoning,,"8HCV+22P, PR-137, Morovis, 00687, Puerto Rico",18.3200876,-66.4074179,Morovis,Restaurantes
The Spur Restaurant,,"PR634 Km 4.3, Morovis, 00687, Puerto Rico",18.3627838,-66.4163966,Morovis,Restaurantes
El Ventorrillo de Abuelo Bar & Grill,,"8J88+4PJ, Morovis, 00687, Puerto Rico",18.3153471,-66.38324,Morovis,Jangueo
Asador Don Pablo,,"Carr. 155 Km. 41.9 Bo, Morovis 00687, Puerto Rico",18.2949141,-66.4089176,Morovis,Restaurantes
Encantos Restaurant & Wine Bar,,"30 Cll Principal, Morovis, 00687, Puerto Rico",18.3259159,-66.40628099999999,Morovis,Restaurantes
Maelo Chicken Fever,,"KM. 54.3, State Rte 155, Morovis 00687, Puerto Rico",18.3531855,-66.4372814,Morovis,Restaurantes
The Tasty One,,"8HGV+446, Calle Pascual Melendez, Morovis, 00687, Puerto Rico",18.3252931,-66.4072322,Morovis,Restaurantes
The Little Corner 3,,"8HHC+CF, Franquez, Morovis 00687, Puerto Rico",18.3285967,-66.428743,Morovis,Restaurantes
Los Hermanos Sport Bar & Grill.,,"Km0.2 PR-6622, Morovis, 00687, Puerto Rico",18.3199119,-66.4162989,Morovis,Jangueo
La Playita,,"7HXR+62V, State Rte 155, Morovis, 00687, Puerto Rico",18.2981143,-66.4099501,Morovis,Restaurantes
El Descuadre,,"State Rte 155 KM 35.6, Morovis, 00687, Puerto Rico",18.272571,-66.3954254,Morovis,Restaurantes
Señor Alitas,,"Bo, PR-159 km 0.7, Morovis, 00687, Puerto Rico",18.3257896,-66.3998901,Morovis,Restaurantes
Col. La Moca Cafe,,"Hc01 Box 2400, Morovis, 00687, Puerto Rico",18.3034782,-66.39163719999999,Morovis,Restaurantes
La Parrilla Burger & Pizza,,"17 Cll Principal, Morovis, 00687, Puerto Rico",18.3258021,-66.408185,Morovis,Restaurantes
El Cofresí,,"Morovis, 00687, Puerto Rico",18.2814375,-66.4021875,Morovis,Restaurantes
Cabra Loca,,"7HMX+9VR, State Rte 155, Morovis, 00687, Puerto Rico",18.2834751,-66.4003701,Morovis,Restaurantes
El Nuevo Cantinflas,,"8HHV+M8G, State Rte 155, Morovis 00687, Puerto Rico",18.329198,-66.4066723,Morovis,Restaurantes
Cafetin Los Amigos,,"State Rte 155, Orocovis, Morovis 00687, Puerto Rico",18.2741565,-66.3943398,Morovis,Restaurantes
La Tasca,,"Morovis, 00687, Puerto Rico",18.325785,-66.4065592,Morovis,Restaurantes
Rancho El Desahogo,,"Carrera #145 km 0.9 Bo, Ciales, 00638, Puerto Rico",18.3354588,-66.4639582,Morovis,Restaurantes
Vagoneando,,"BarrioOrocovis, 155, km 29.8, Orocovis, 00720, Puerto Rico",18.2348875,-66.3945021,Morovis,Restaurantes
Restaurante La Sombra (Longanizas Doña María),,"PR-156, Orocovis, 00720, Puerto Rico",18.2234532,-66.3748069,Morovis,Restaurantes
Pa'l Campo,,"Hc 01 box 2007 bo, Morovis 00687, Puerto Rico",18.2784932,-66.4044967,Morovis,Restaurantes
"Algo Lindo Restaurant, Bar & Grill",,"Bo, Ciales, 00638, Puerto Rico",18.3374599,-66.46493389999999,Morovis,Jangueo
Ruta Típica,,"entrada hacia Franquez!, Carretera #137 Estatal Moravis Puerto Rico,en dirección Sur a la izquierda, Morovis, 00687, Puerto Rico",18.3228736,-66.4122043,Morovis,Restaurantes
La Zona By. BaristAlo,,"expreso #137, Morovis, 00687, Puerto Rico",18.3200775,-66.4095013,Morovis,Coffee Shops
Magdalena’s Coffee House,,"19 Cll Del Carmen, Morovis, 00687, Puerto Rico",18.3261061,-66.4067993,Morovis,Coffee Shops
Augustos coffee bar,,"PR-137 km 10.1, Morovis, 00687, Puerto Rico",18.3626135,-66.4269628,Morovis,Coffee Shops
Grandpa's Seasoning,,"8HCV+22P, PR-137, Morovis, 00687, Puerto Rico",18.3200876,-66.4074179,Morovis,Coffee Shops
Café y Más,,"C. Marginal, Vega Baja, 00693, Puerto Rico",18.4469797,-66.39344799999999,Morovis,Coffee Shops
Riocafé,,"23 C. 4 de Julio, Orocovis, 00720, Puerto Rico",18.2274321,-66.3917364,Morovis,Coffee Shops
Col. La Moca Cafe,,"Hc01 Box 2400, Morovis, 00687, Puerto Rico",18.3034782,-66.39163719999999,Morovis,Coffee Shops
Sofi's Sweet Bakery,,"9H68+FGH, State Rte 155, Morovis, 00687, Puerto Rico",18.3611857,-66.4336435,Morovis,Coffee Shops
Sabor Frappé - Morovis,,"8HHG+6JM, PR-137, Morovis, 00687, Puerto Rico",18.3280947,-66.4234492,Morovis,Coffee Shops
MR Burger,,"2088 PR-633, Morovis, 00687, Puerto Rico",18.3545208,-66.4381325,Morovis,Coffee Shops
Nani’s Sweet Bakery,,"Carr. 619 km 0.4 00687, Morovis, 00687, Puerto Rico",18.3155776,-66.3909233,Morovis,Coffee Shops
FinCafé Coffee Shop,,"Carretera 149, Ciales, 00638, Puerto Rico",18.2809942,-66.5101298,Morovis,Coffee Shops
K-feína Coffee Shop Manatí,,"PR-64Sxtfg3, Manatí, 00674, Puerto Rico",18.3792624,-66.4835458,Morovis,Coffee Shops
Café Licor,,"7J34+W3G, Orocovis, 00720, Puerto Rico",18.2548031,-66.3947984,Morovis,Coffee Shops
Carmen Ice Cream Shop,,"4 Cll Principal, Morovis, 00687, Puerto Rico",18.3259021,-66.4069092,Morovis,Coffee Shops
Wings & Fries Co. - Morovis,,"PR-137 KM 13.7, Morovis, 00687, Puerto Rico",18.3279415,-66.4235672,Morovis,Coffee Shops
El Cofresí,,"Morovis, 00687, Puerto Rico",18.2814375,-66.4021875,Morovis,Coffee Shops
Aromas of Coffee,,"Paseo Lineal Juan Antonio Corretjer, Ciales, 00638, Puerto Rico",18.3543869,-66.4697901,Morovis,Coffee Shops
La Ruta Bar & Restaurant,,"622-652 Cll Armando Mejías, Morovis, 00687, Puerto Rico",18.3400715,-66.4214248,Morovis,Restaurantes
Frappe Morovis Guagita Blanca,,"8HCP+HWC, Morovis 00687, Puerto Rico",18.3214382,-66.4127247,Morovis,Coffee Shops
Encantos Restaurant & Wine Bar,,"30 Cll Principal, Morovis, 00687, Puerto Rico",18.3259159,-66.40628099999999,Morovis,Restaurantes
Luna Coffee & Latin Kitchen,,"352 Av. Américo Miranda, San Juan, 00927, Puerto Rico",18.3996731,-66.0681191,Morovis,Coffee Shops
Carmita,,"8H5R+99, Morovis, 00687, Puerto Rico",18.3084401,-66.4090757,Morovis,Coffee Shops
Café Pangea PR,,"Carr. 149, Barrio Km. 19.0, Ciales, 00638, Puerto Rico",18.3036401,-66.4788324,Morovis,Coffee Shops
The Mini Market Pond,,"199-171 Calle Jose Del Rio, Morovis, 00687, Puerto Rico",18.3374702,-66.4297893,Morovis,Coffee Shops
"The Argentinean in Morovis, town branch",,"PR-155 KM 47.0, Morovis, 00687, Puerto Rico",18.328366,-66.4067556,Morovis,Coffee Shops
Café Morena,,"Bo KM 26.1, Dorado 00646, Puerto Rico",18.4058133,-66.290256,Morovis,Coffee Shops
Morovis To Go,,"PR-618, Morovis, 00687, Puerto Rico",18.3093328,-66.4015318,Morovis,Coffee Shops
Morena Coffee Express,,"PR-176 KM 1.4, San Juan, 00926, Puerto Rico",18.3808964,-66.0557651,Morovis,Coffee Shops
Buenas Vibras Café and Restaurant,,"00720, Orocovis, 00720, Puerto Rico",18.248346,-66.42124199999999,Morovis,Restaurantes
Sin Prisa Coffee Shop,,"1804 C. Loíza, San Juan, 00911, Puerto Rico",18.4514175,-66.05944769999999,Morovis,Coffee Shops
The Tasty One,,"8HGV+446, Calle Pascual Melendez, Morovis, 00687, Puerto Rico",18.3252931,-66.4072322,Morovis,Coffee Shops
LA ARGENTINA FOOD TRUCK,,"8H53+6V, Morovis, 00687, Puerto Rico",18.3080625,-66.4453125,Morovis,Coffee Shops
Favorite Kitchen,,"00687, Morovis, 00687, Puerto Rico",18.3193332,-66.4125141,Morovis,Coffee Shops
El Castillo De La Reposteria,,"180 PR-155 suite 4, Morovis, 00687, Puerto Rico",18.323108,-66.40631499999999,Morovis,Coffee Shops
Espresso Lab Coffee Shop,,"8020 Tartak St Hyatt Centric San Juan, Lobby, 8020 José M. Tartak Ave, Carolina, 00979, Puerto Rico",18.4406718,-66.02198229999999,Morovis,Coffee Shops
D’Marys Pizza & Sweet Bakery,,"Sector La linea, Morovis, 00687, Puerto Rico",18.3220469,-66.4221498,Morovis,Coffee Shops
Hacienda San Pedro,,"1350 Ashford Ave, San Juan, 00907, Puerto Rico",18.4550466,-66.0690455,Morovis,Coffee Shops
Mambo Frappe,,"8HPF+C6R, Morovis, 00687, Puerto Rico",18.3361213,-66.42696889999999,Morovis,Coffee Shops
Molcajete Morovis,,"Km. 2.2 PR-6622, Morovis, 00687, Puerto Rico",18.3228791,-66.405656,Morovis,Coffee Shops
Hacienda San Pedro,,"211 Av. Ing. Manuel Domenech, San Juan, 00918, Puerto Rico",18.4151705,-66.0601792,Morovis,Coffee Shops
MAR ACAI SPOT,,"2 Calle Almacio Gonzalez, Morovis, 00687, Puerto Rico",18.3258916,-66.4064346,Morovis,Coffee Shops
Colmado Vista Alegre (Papo Perez),,"Km. 1.3, PR-618, Morovis 00687, Puerto Rico",18.3092418,-66.3984548,Morovis,Coffee Shops
Cafetin Los Amigos,,"State Rte 155, Orocovis, Morovis 00687, Puerto Rico",18.2741565,-66.3943398,Morovis,Coffee Shops
Cafeliz,,"Toa Alta, 00953, Puerto Rico",18.3896782,-66.25327170000001,Morovis,Coffee Shops
El Flamboyán,,"173, km 2.2, Carretera Patron, Morovis, 00687, Puerto Rico",18.3333271,-66.3981211,Morovis,Coffee Shops
"Fusion Coffee, Brunch & Restaurant",,"Carretera 944 Km 2.9, Gurabo, 00778, Puerto Rico",18.2650411,-65.9416983,Morovis,Restaurantes
Boca Boca Generales,,"CX43+5XH, San Juan, 00923, Puerto Rico",18.4053911,-66.0449995,Morovis,Coffee Shops
Café Comunión,,"1616 PR-25, San Juan, 00909, Puerto Rico",18.4439231,-66.0657765,Morovis,Coffee Shops
Café Consciente,,"171 C. O'Neill, San Juan, 00918, Puerto Rico",18.4229816,-66.0624776,Morovis,Coffee Shops
Museo Agrocultural de Morovis,,"Calle Buena Vis km 47.5, Morovis, 00687, Puerto Rico",18.3294221,-66.4067984,Morovis,Coffee Shops
Veronica's Bakery,,"Puerto Rico 2, 00674, Manatí 00674, Puerto Rico",18.4358307,-66.4646437,Morovis,Coffee Shops
