nombre,telefono,direccion,latitud,longitud,municipio,categoria
Wings & Fries Co. - Morovis,(939) 407-5874,"PR-137 KM 13.7, Morovis, 00687, Puerto Rico",18.3279415,-66.4235672,Morovis,Restaurantes
Big Krazy,(787) 429-3739,"8HCR+2WR, Morovis, 00687, Puerto Rico",18.320121,-66.40772299999999,Morovis,Restaurantes
El Barrilito Bar & Rest.,(787) 717-0211,"PR-137, Morovis, 00687, Puerto Rico",18.3326482,-66.4275265,Morovis,Restaurantes
"Casa Bavaria @ Morovis, PR",(787) 862-7818,"State Rte 155, Morovis, 00687, Puerto Rico",18.2838914,-66.40095219999999,Morovis,Restaurantes
La Ruta Bar & Restaurant,(787) 944-5557,"622-652 Cll Armando Mejías, Morovis, 00687, Puerto Rico",18.3400715,-66.4214248,Morovis,Restaurantes
Molcajete Morovis,(787) 323-0917,"Km. 2.2 PR-6622, Morovis, 00687, Puerto Rico",18.3228791,-66.405656,Morovis,Restaurantes
Lechonera BAJARI,(787) 603-0873,"Carretera 155, Bo km 44.8, Morovis, 00687, Puerto Rico",18.3105752,-66.4088769,Morovis,Restaurantes
Grandpa's Seasoning,(787) 375-5121,"8HCV+22P, PR-137, Morovis, 00687, Puerto Rico",18.3200876,-66.4074179,Morovis,Restaurantes
The Spur Restaurant,(787) 566-0360,"PR634 Km 4.3, Morovis, 00687, Puerto Rico",18.3627838,-66.4163966,Morovis,Restaurantes
El Ventorrillo de Abuelo Bar & Grill,(787) 862-2998,"8J88+4PJ, Morovis, 00687, Puerto Rico",18.3153471,-66.38324,Morovis,Jangueo
Asador Don Pablo,(787) 361-7600,"Carr. 155 Km. 41.9 Bo, Morovis 00687, Puerto Rico",18.2949141,-66.4089176,Morovis,Restaurantes
Encantos Restaurant & Wine Bar,(787) 663-7980,"30 Cll Principal, Morovis, 00687, Puerto Rico",18.3259159,-66.40628099999999,Morovis,Restaurantes
Maelo Chicken Fever,(787) 345-6685,"KM. 54.3, State Rte 155, Morovis 00687, Puerto Rico",18.3531855,-66.4372814,Morovis,Restaurantes
The Tasty One,(787) 862-4110,"8HGV+446, Calle Pascual Melendez, Morovis, 00687, Puerto Rico",18.3252931,-66.4072322,Morovis,Restaurantes
The Little Corner 3,(939) 265-1313,"8HHC+CF, Franquez, Morovis 00687, Puerto Rico",18.3285967,-66.428743,Morovis,Restaurantes
Los Hermanos Sport Bar & Grill.,(939) 284-2270,"Km0.2 PR-6622, Morovis, 00687, Puerto Rico",18.3199119,-66.4162989,Morovis,Jangueo
La Playita,,"7HXR+62V, State Rte 155, Morovis, 00687, Puerto Rico",18.2981143,-66.4099501,Morovis,Restaurantes
El Descuadre,(787) 375-9108,"State Rte 155 KM 35.6, Morovis, 00687, Puerto Rico",18.272571,-66.3954254,Morovis,Restaurantes
Señor Alitas,(787) 862-5600,"Bo, PR-159 km 0.7, Morovis, 00687, Puerto Rico",18.3257896,-66.3998901,Morovis,Restaurantes
Col. La Moca Cafe,(787) 377-1688,"Hc01 Box 2400, Morovis, 00687, Puerto Rico",18.3034782,-66.39163719999999,Morovis,Restaurantes
