place_id,nombre,categoria_principal,subcategoria_sugerida
ChIJM0Lty2wqHYwR_xrctmXUk_A,Supreme Beauty Salon,Salones de Belleza,Salon de Belleza
ChIJM0Lty2wqHYwR_xrctmXUk_A,Supreme Beauty Salon,Salones de Belleza,Cabello
ChIJ4chZX6DVHIwRy2jXqZmwuV0,The Beauty Lab by Paola Estefania,Salones de Belleza,Salon de Belleza
ChIJ4chZX6DVHIwRy2jXqZmwuV0,The Beauty Lab by Paola Estefania,Salones de Belleza,Cuidado Capilar
ChIJ4chZX6DVHIwRy2jXqZmwuV0,The Beauty Lab by Paola Estefania,Salones de Belleza,Bienestar
ChIJ4chZX6DVHIwRy2jXqZmwuV0,The Beauty Lab by Paola Estefania,Salones de Belleza,Cabello
ChIJXVwR1fIpHYwRZMm5KS6Sp94,Sarts Beauty Salón,Salones de Belleza,Salon de Belleza
ChIJXVwR1fIpHYwRZMm5KS6Sp94,Sarts Beauty Salón,Salones de Belleza,Cabello
ChIJlYwzXqgrHYwRsVfwWnPl-FA,NOVA LADY SALON,Salones de Belleza,Salon de Belleza
ChIJlYwzXqgrHYwRsVfwWnPl-FA,NOVA LADY SALON,Salones de Belleza,Cabello
ChIJV_vOyd3VHIwRqJo0fj5eg1o,Y Salón “The House of Colors” 𝙱𝚢: 𝚈𝚘𝚢𝚖𝚊𝚛 𝙱𝚘𝚛𝚛𝚎𝚛𝚘,Salones de Belleza,Salon de Belleza
ChIJV_vOyd3VHIwRqJo0fj5eg1o,Y Salón “The House of Colors” 𝙱𝚢: 𝚈𝚘𝚢𝚖𝚊𝚛 𝙱𝚘𝚛𝚛𝚎𝚛𝚘,Salones de Belleza,Cabello
ChIJqy-vc3YqHYwRTY3LkthViMI,Marylin's Beauty Salon,Salones de Belleza,Salon de Belleza
ChIJqy-vc3YqHYwRTY3LkthViMI,Marylin's Beauty Salon,Salones de Belleza,Cabello
