nombre,telefono,direccion,latitud,longitud,municipio,categoria
Mercado's Bakery Lajas,(787) 899-2515,"2WVR+8G5, Lajas, 00667, Puerto Rico",18.0432673,-67.0586335,Lajas,Panaderías
Panadería La Francesa,(787) 899-3415,"PR-101, Lajas, 00667, Puerto Rico",18.0475212,-67.0673312,Lajas,Panaderías
Nuestro Pan Bakery,(787) 808-1900,"Carreterra 117, Bo km 2.1, Lajas, 00667, Puerto Rico",18.050266,-67.0384461,Lajas,Panaderías
Panadería Monsegur,(939) 641-1246,"2WHX+RRC, PR-116, Lajas, 00667, Puerto Rico",18.0296567,-67.050504,Lajas,Panaderías
Maya’s Bakery,(787) 978-7091,"PR-117, Lajas, 00667, Puerto Rico",18.0388004,-67.01113889999999,Lajas,Panaderías
Pargomar Bakery and Deli,,"La Parguera, Lajas 00667, Puerto Rico",17.9747308,-67.0481436,Lajas,Panaderías
"Panadería La Monserrate, Hormigueros",(787) 849-1412,"Calle Segundo Ruiz Belvis #16, Hormigueros, 00660, Puerto Rico",18.1390099,-67.1282001,Lajas,Panaderías
Panadería Gabriel,(787) 868-5940,"Carr 441 KM 0.9 Bo, Aguada 00602, Puerto Rico",18.3887028,-67.195313,Lajas,Panaderías
Panadería España,(787) 727-3860,"Centro Comercial, 1105 C. Marginal Villamar, Carolina, 00979, Puerto Rico",18.4441354,-66.030819,Lajas,Panaderías
Palmarejo Bakery,(787) 859-5499,"8PM2+9CW, PR-164, Corozal, 00783, Puerto Rico",18.3334887,-66.29893369999999,Lajas,Panaderías
Panaderia valle,,"28-84 Calle 65 De Infanteria, Lajas, 00667, Puerto Rico",18.0524957,-67.05837629999999,Lajas,Panaderías
¡Ay Papá! Bakery,(939) 935-9195,"22QJ+4JH, PR-117, Sabana Grande, Lajas 00667, Puerto Rico",18.0378287,-66.9683275,Lajas,Panaderías
