categoria_principal,subcategoria_sugerida,total_comercios
Barberias,Cortes,49
Barberias,Cuidado Capilar,48
Barberias,Bienestar,47
Barberias,Salon de Belleza,2
Barberias,Tienda,2
Boutiques,Tienda,67
Boutiques,Ropa,64
Boutiques,Moda,57
Boutiques,Accesorios,5
Boutiques,Calzado,2
Dispensarios,Tienda,73
Dispensarios,Cannabis Medicinal,47
Dispensarios,Bienestar,5
Esteticas,Faciales,11
Esteticas,Bienestar,2
Esteticas,Tienda,2
Esteticas,Salon de Belleza,1
Esteticas,General,1
Gimnasios,Bienestar,60
Gimnasios,Gimnasio General,56
Gimnasios,Fitness,39
Gimnasios,General,4
Gimnasios,Spa,3
Gimnasios,Crossfit,3
Gimnasios,Salon de Belleza,1
Gimnasios,Tienda,1
Gimnasios,Boxeo,1
Salones de Belleza,Salon de Belleza,75
Salones de Belleza,Cabello,70
Salones de Belleza,Cuidado Capilar,35
Salones de Belleza,Bienestar,25
Salones de Belleza,Unas,6
Salones de Belleza,Lashes y Cejas,3
Salones de Belleza,Tienda,2
Spas,Spa,75
Spas,Salon de Belleza,39
Spas,Bienestar,27
Spas,Cuidado Capilar,22
Spas,Wellness,9
Spas,General,8
Spas,Tienda,7
Spas,Faciales,4
Spas,Masajes,3
