key,nombre_lugar,municipio_id,direccion,place_id,latitud,longitud,fuente,updated_at
3 day pass complejo ferial de puerto rico|58,3 DAY PASS - Complejo Ferial de Puerto Rico,58,"Av Rafael Cordero Santiago, Ponce, 00716, Puerto Rico",ChIJow6UhObVHIwRHSB9TCXXLk0,17.9872554,-66.599768,google_places,2026-05-14T20:24:46+00:00
abracadabra counter cafe|65,Abracadabra Counter Cafe,65,"1651 Av. Manuel Fernández Juncos, San Juan, 00909, Puerto Rico",ChIJf9RoW0tvA4wRnpCUTZAx4bE,18.4427013,-66.0659247,google_places,2026-05-14T20:19:34+00:00
abracadabra enumerado new|65,Abracadabra Enumerado New,65,"1651 Av. Manuel Fernández Juncos, San Juan, 00909, Puerto Rico",ChIJf9RoW0tvA4wRnpCUTZAx4bE,18.4427013,-66.0659247,google_places,2026-05-14T20:19:37+00:00
abracadabra|65,Abracadabra,65,"1651 Av. Manuel Fernández Juncos, San Juan, 00909, Puerto Rico",ChIJf9RoW0tvA4wRnpCUTZAx4bE,18.4427013,-66.0659247,google_places,2026-05-14T20:24:30+00:00
aguadilla|3,Aguadilla,3,"00603, Puerto Rico",ChIJO6HUS-28AowRIDi6m7d3HQc,18.4295875,-67.15410969999999,google_places,2026-05-14T20:19:23+00:00
aqua by dreams hotel amp bar amp grill|70,Aqua by Dreams Hotel &amp; Bar &amp; Grill,70,"Calle Manuel Enriquez km 1.8, Toa Baja, 00949, Puerto Rico",ChIJc-pz175vA4wRwK9VJRagYhs,18.4639638,-66.1399334,google_places,2026-05-14T20:24:28+00:00
arecibo motorsport|7,Arecibo Motorsport,7,"F79X+V85, Cambalache, Arecibo 00612, Puerto Rico",ChIJiTEh8s_gAowR0iZXOB3wpsQ,18.4696265,-66.70163509999999,google_places,2026-05-14T20:24:27+00:00
bambalinas cafe teatro amp musica|2,Bambalinas Café Teatro &amp; Música,2,"Sector Casualidad, Aguada, 00602, Puerto Rico",ChIJ9fVcEQClAowRQ2LOWwRgR48,18.3781737,-67.1984205,google_places,2026-05-14T20:24:19+00:00
bambalinas cafe teatro|2,Bambalinas Café Teatro,2,"Sector Casualidad, Aguada, 00602, Puerto Rico",ChIJ9fVcEQClAowRQ2LOWwRgR48,18.3781737,-67.1984205,google_places,2026-05-14T20:19:56+00:00
bellas artes de caguas|13,Bellas Artes de Caguas,13,"Calle Padial, Esquina, C. Ruiz Belvis, Caguas, 00725, Puerto Rico",ChIJD-PyAzdbA4wRSCZIK5nps4U,18.2359026,-66.0368165,google_places,2026-05-14T20:23:22+00:00
bsn general enumerado|59,BSN (General + Enumerado),59,"F36C+M88, Quebradillas, 00678, Puerto Rico",ChIJCWGSQ-fBAowR4AIaDbQG-Ls,18.4616667,-66.9291667,google_places,2026-05-14T20:49:08+00:00
cafe teatro el shorty|65,Café Teatro El Shorty,65,"607 C. del Parque, San Juan, 00909, Puerto Rico",ChIJZYRAIUtvA4wRVZAjsvpvvys,18.4441053,-66.0668601,google_places,2026-05-14T21:55:01+00:00
cangrejeros 2026|65,Cangrejeros 2026,65,"154 C. Eugenio Benítez Castaño, San Juan, 00911, Puerto Rico",ChIJ3dzxQIdvA4wRGCSCHMvFjMc,18.4483937,-66.0572605,google_places,2026-05-14T20:19:28+00:00
cba naranjito online|54,CBA Naranjito - .Online,54,"7PPW+WJV, Naranjito, 00719, Puerto Rico",ChIJv869QJ4_A4wRuxWi3DrnRIQ,18.2873653,-66.25344570000001,google_places,2026-05-14T20:19:54+00:00
cba santurce|65,CBA Santurce,65,"Ave. Ponce De León Pda. 22 1/2, San Juan, 00907, Puerto Rico",ChIJgXI932hoA4wRoro39iaHOFk,18.4465793,-66.06872129999999,google_places,2026-05-14T20:23:09+00:00
centro de bellas artes de humacao|36,Centro de Bellas Artes de Humacao,36,"45VM+M6W, Av. Blvd. Nicanor Varquez, Cataño, Humacao 00791, Puerto Rico",ChIJJTRoLNanBIwRFI-u2cPc1B0,18.1442377,-65.8169162,google_places,2026-05-14T20:23:35+00:00
centro de bellas artes de naranjito|54,Centro de Bellas Artes de Naranjito,54,"#97 C. Georgetti, Naranjito, 00719, Puerto Rico",ChIJVb6-ZFo_A4wRWOl1ojtLqVc,18.3007986,-66.24521410000001,google_places,2026-05-14T20:20:16+00:00
