evento_id_temp,source_event_id,url,nombre_final,categoria_origen_boleteria,categoria_inferida_script,categoria_final_id,categoria_final_nombre,usa_sesiones_compra,total_sesiones_detectadas,total_venues_detectadas,municipio_principal_id,municipio_principal_nombre,municipios_detectados_en_venues,municipios_detectados_en_sesiones,lugar_principal,direccion_principal,total_fechas_finales,primera_fecha,ultima_fecha
215,men-city-padre-soltero,https://pietix.com/men-city-padre-soltero,Men And The City: Se Nos Casa El Padre Soltero,,Comedia,10,,true,7,1,65,San Juan,65,65,Centro de Bellas Artes de Santurce,"Centro de Bellas Artes de Santurce, San Juan, Puerto Rico",7,2026-06-05,2026-06-20
216,sidepiece2,https://pietix.com/sidepiece2,SIDEPIECE,,Gastronomía,17,,true,2,2,26,Dorado,26,26,El Patio Fusion Lounge,"El Patio Fusion Lounge, Dorado, Puerto Rico",2,2026-06-06,2026-06-06
217,elcaco-y-elrockero,https://pietix.com/elcaco-y-elrockero,El Caco & El Rockero,,Comedia,10,,true,3,1,65,San Juan,65,65,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",3,2026-05-14,2026-05-28
218,improjangueo,https://pietix.com/improjangueo,IMPRO JANGUEO,,Comedia,10,,true,2,1,65,San Juan,65,65,IMPRO Galería,"IMPRO Galería, San Juan, Puerto Rico",2,2026-05-14,2026-05-28
219,serenata-a-las-reinas,https://pietix.com/serenata-a-las-reinas,Serenata a Las Reinas,,Experiencia,15,,true,1,1,65,San Juan,65,65,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",1,2026-05-15,2026-05-15
220,tombola-estelar-corozal,https://pietix.com/tombola-estelar-corozal,'Standoperos' La Tómbola @ Corozal,,Comedia,10,,true,2,1,24,Corozal,24,24,Cine Teatro Manuel Nieves Quintero,"Cine Teatro Manuel Nieves Quintero, Corozal, Puerto Rico",2,2026-05-16,2026-05-16
221,el-boricua-es-otra-cosa-gira,https://pietix.com/el-boricua-es-otra-cosa-gira,El Boricua es otra cosa,,Experiencia,15,,true,8,8,28,Florida,16|28,16|28,Duncan Theatre,"Duncan Theatre, Lake Worth Beach, Florida",8,2026-05-17,2026-08-29
222,genock-imagen,https://pietix.com/genock-imagen,Genock 'Imagen',,Experiencia,15,,true,1,1,11,Bayamón,11,11,Comunidad Aliento,"Comunidad Aliento, Bayamón, Puerto Rico",1,2026-05-16,2026-05-16
223,la-mudanza-puntofijo,https://pietix.com/la-mudanza-puntofijo,La Mudanza,,Comedia,10,,true,1,1,65,San Juan,65,65,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",1,2026-05-16,2026-05-16
224,mas-turbado-que-tu,https://pietix.com/mas-turbado-que-tu,Más Turbado...Que Tú,,Comedia,10,,true,5,5,30,Guayama,2|28|30|58,2|28|30|58,Studio 58 Café Teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",5,2026-05-16,2026-08-22
225,y-que-se-joda,https://pietix.com/y-que-se-joda,Héctor Méndez 'Y Que se Joda',,Comedia,10,,true,1,1,28,Florida,28,28,Sun On the Beach,"Sun On the Beach, Kissimmee, Florida",1,2026-05-16,2026-05-16
226,que-madre,https://pietix.com/que-madre,¡Qué Madre!,,Comedia,10,,true,2,1,30,Guayama,30,30,Studio 58 Café Teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",2,2026-05-17,2026-05-31
227,marine-expo-2026,https://pietix.com/marine-expo-2026,Marine Expo 2026 & Outdoor Adventures,,Ferias,4,,true,3,1,65,San Juan,65,65,Puerto Rico Convention Center,"Puerto Rico Convention Center, San Juan, Puerto Rico",3,2026-05-21,2026-05-23
228,tombola-estelar,https://pietix.com/tombola-estelar,'Standoperos' La Tómbola Estelar,,Experiencia,15,,true,8,1,11,Bayamón,11,11,Teatro Braulio Castillo,"Teatro Braulio Castillo, Bayamón, Puerto Rico",8,2026-05-22,2026-09-19
229,soy-menopausica,https://pietix.com/soy-menopausica,Soy Menopáusica ¡Y Qué!,,Otros,9,,true,1,1,28,Florida,28,28,Sun On the Beach,"Sun On the Beach, Kissimmee, Florida",1,2026-05-22,2026-05-22
230,pr-100x35-expo,https://pietix.com/pr-100x35-expo,Puerto Rico 100x35 Expo,,Experiencia,15,,true,3,1,7,Arecibo,7,7,Arecibo Motorsport,"Arecibo Motorsport, Arecibo, Puerto Rico",3,2026-05-23,2026-05-24
