id,event_id,source,source_event_id,municipio_id,lugar,localidad_key,direccion,enlaceboletos
1125,215,pietix,men-city-padre-soltero,65,Centro de Bellas Artes de Santurce,65|centro de bellas artes de santurce,"Centro de Bellas Artes de Santurce, San Juan, Puerto Rico",https://pietix.com/men-city-padre-soltero
1126,216,pietix,sidepiece2,26,El Patio Fusion Lounge,26|el patio fusion lounge,"El Patio Fusion Lounge, Dorado, Puerto Rico",https://pietix.com/sidepiece2
1127,216,pietix,sidepiece2,26,"Payment Plan disponible con pagos desde $5 semanales, según el boleto",26|payment plan disponible con pagos desde 5 semanales segun el boleto,"Payment Plan disponible con pagos desde $5 semanales, según el boleto, Dorado, Puerto Rico",https://pietix.com/sidepiece2
1128,217,pietix,elcaco-y-elrockero,65,PuntoFijo,65|puntofijo,"PuntoFijo, San Juan, Puerto Rico",https://pietix.com/elcaco-y-elrockero
1129,218,pietix,improjangueo,65,IMPRO Galería,65|impro galeria,"IMPRO Galería, San Juan, Puerto Rico",https://pietix.com/improjangueo
1130,219,pietix,serenata-a-las-reinas,65,PuntoFijo,65|puntofijo,"PuntoFijo, San Juan, Puerto Rico",https://pietix.com/serenata-a-las-reinas
1131,220,pietix,tombola-estelar-corozal,24,Cine Teatro Manuel Nieves Quintero,24|cine teatro manuel nieves quintero,"Cine Teatro Manuel Nieves Quintero, Corozal, Puerto Rico",https://pietix.com/tombola-estelar-corozal
1132,221,pietix,el-boricua-es-otra-cosa-gira,28,Duncan Theatre,28|duncan theatre,"Duncan Theatre, Lake Worth Beach, Florida",https://pietix.com/el-boricua-es-otra-cosa-gira
1133,221,pietix,el-boricua-es-otra-cosa-gira,28,Ocala Civic Theater,28|ocala civic theater,"Ocala Civic Theater, Ocala, Florida",https://pietix.com/el-boricua-es-otra-cosa-gira
1134,221,pietix,el-boricua-es-otra-cosa-gira,16,SHU Community Theatre,16|shu community theatre,"SHU Community Theatre, Fairfield, Connecticut",https://pietix.com/el-boricua-es-otra-cosa-gira
1135,221,pietix,el-boricua-es-otra-cosa-gira,28,Dimension Event Center,28|dimension event center,"Dimension Event Center, Naples, Florida",https://pietix.com/el-boricua-es-otra-cosa-gira
1136,221,pietix,el-boricua-es-otra-cosa-gira,16,The Asher Theatre,16|the asher theatre,"The Asher Theatre, Myrtle Beach, South Carolina",https://pietix.com/el-boricua-es-otra-cosa-gira
1137,221,pietix,el-boricua-es-otra-cosa-gira,16,Garner Performing Arts Center,16|garner performing arts center,"Garner Performing Arts Center, Garner, North Carolina",https://pietix.com/el-boricua-es-otra-cosa-gira
1138,221,pietix,el-boricua-es-otra-cosa-gira,16,The Salvation Army Kroc Corps Community Center,16|the salvation army kroc corps community center,"The Salvation Army Kroc Corps Community Center, Phoenix, Arizona",https://pietix.com/el-boricua-es-otra-cosa-gira
1139,221,pietix,el-boricua-es-otra-cosa-gira,16,Miller Center for the Arts,16|miller center for the arts,"Miller Center for the Arts, Reading, Pennsylvania",https://pietix.com/el-boricua-es-otra-cosa-gira
1140,222,pietix,genock-imagen,11,Comunidad Aliento,11|comunidad aliento,"Comunidad Aliento, Bayamón, Puerto Rico",https://pietix.com/genock-imagen
1141,223,pietix,la-mudanza-puntofijo,65,PuntoFijo,65|puntofijo,"PuntoFijo, San Juan, Puerto Rico",https://pietix.com/la-mudanza-puntofijo
1142,224,pietix,mas-turbado-que-tu,30,Studio 58 Café Teatro,30|studio 58 cafe teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",https://pietix.com/mas-turbado-que-tu
1143,224,pietix,mas-turbado-que-tu,28,Sun On the Beach,28|sun on the beach,"Sun On the Beach, Kissimmee, Florida",https://pietix.com/mas-turbado-que-tu
1144,224,pietix,mas-turbado-que-tu,28,Killeen Arts and Activities Center,28|killeen arts and activities center,"Killeen Arts and Activities Center, Killeen, Texas",https://pietix.com/mas-turbado-que-tu
1145,224,pietix,mas-turbado-que-tu,2,Bambalinas Café Teatro &amp; Música,2|bambalinas cafe teatro amp musica,"Bambalinas Café Teatro &amp; Música, Aguada, Puerto Rico",https://pietix.com/mas-turbado-que-tu
1146,224,pietix,mas-turbado-que-tu,58,Studio 58 Comedy Club,58|studio 58 comedy club,"Studio 58 Comedy Club, Ponce, Puerto Rico",https://pietix.com/mas-turbado-que-tu
1147,225,pietix,y-que-se-joda,28,Sun On the Beach,28|sun on the beach,"Sun On the Beach, Kissimmee, Florida",https://pietix.com/y-que-se-joda
1148,226,pietix,que-madre,30,Studio 58 Café Teatro,30|studio 58 cafe teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",https://pietix.com/que-madre
1149,227,pietix,marine-expo-2026,65,Puerto Rico Convention Center,65|puerto rico convention center,"Puerto Rico Convention Center, San Juan, Puerto Rico",https://pietix.com/marine-expo-2026
1150,228,pietix,tombola-estelar,11,Teatro Braulio Castillo,11|teatro braulio castillo,"Teatro Braulio Castillo, Bayamón, Puerto Rico",https://pietix.com/tombola-estelar
1151,229,pietix,soy-menopausica,28,Sun On the Beach,28|sun on the beach,"Sun On the Beach, Kissimmee, Florida",https://pietix.com/soy-menopausica
1152,230,pietix,pr-100x35-expo,7,Arecibo Motorsport,7|arecibo motorsport,"Arecibo Motorsport, Arecibo, Puerto Rico",https://pietix.com/pr-100x35-expo
1153,231,pietix,relacion-es-caguas,13,Bellas Artes de Caguas,13|bellas artes de caguas,"Bellas Artes de Caguas, Caguas, Puerto Rico",https://pietix.com/relacion-es-caguas
1154,232,pietix,dato-curioso,70,Aqua by Dreams Hotel &amp; Bar &amp; Grill,70|aqua by dreams hotel amp bar amp grill,"Aqua by Dreams Hotel &amp; Bar &amp; Grill, Toa Baja, Puerto Rico",https://pietix.com/dato-curioso
1155,233,pietix,en-blanco-y-negro,65,Abracadabra,65|abracadabra,"Abracadabra, San Juan, Puerto Rico",https://pietix.com/en-blanco-y-negro
1156,234,pietix,payaso-flacumbo-studio58,58,Studio 58 Comedy Club,58|studio 58 comedy club,"Studio 58 Comedy Club, Ponce, Puerto Rico",https://pietix.com/payaso-flacumbo-studio58
1157,235,pietix,kikoblade-penetrado-corozal,24,Cine Teatro Manuel Nieves Quintero,24|cine teatro manuel nieves quintero,"Cine Teatro Manuel Nieves Quintero, Corozal, Puerto Rico",https://pietix.com/kikoblade-penetrado-corozal
1158,236,pietix,tributo-al-divo-juangabriel,30,Studio 58 Café Teatro,30|studio 58 cafe teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",https://pietix.com/tributo-al-divo-juangabriel
1159,237,pietix,manolo-in-caguas,13,La Mordida Taqueria Mexicana,13|la mordida taqueria mexicana,"La Mordida Taqueria Mexicana, Caguas, Puerto Rico",https://pietix.com/manolo-in-caguas
1160,238,pietix,julio-elcaco,30,Studio 58 Café Teatro,30|studio 58 cafe teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",https://pietix.com/julio-elcaco
1161,239,pietix,sesion-inedita,65,IMPRO Galería,65|impro galeria,"IMPRO Galería, San Juan, Puerto Rico",https://pietix.com/sesion-inedita
1162,240,pietix,mejor-sola-studio58,58,Studio 58 Comedy Club,58|studio 58 comedy club,"Studio 58 Comedy Club, Ponce, Puerto Rico",https://pietix.com/mejor-sola-studio58
1163,241,pietix,un-abrazo-cultural-2026,65,Museo de Arte de Puerto Rico (MAPR),65|museo de arte de puerto rico mapr,"Museo de Arte de Puerto Rico (MAPR), San Juan, Puerto Rico",https://pietix.com/un-abrazo-cultural-2026
1164,242,pietix,samuel-rivera-intimo,65,PuntoFijo,65|puntofijo,"PuntoFijo, San Juan, Puerto Rico",https://pietix.com/samuel-rivera-intimo
1165,243,pietix,solo,30,Studio 58 Café Teatro,30|studio 58 cafe teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",https://pietix.com/solo
1166,243,pietix,solo,65,PuntoFijo,65|puntofijo,"PuntoFijo, San Juan, Puerto Rico",https://pietix.com/solo
1167,243,pietix,solo,58,Studio 58 Comedy Club,58|studio 58 comedy club,"Studio 58 Comedy Club, Ponce, Puerto Rico",https://pietix.com/solo
1168,244,pietix,pa-que-te-rias,27,Teatro José M. Lugo Emanuelli,27|teatro jose m lugo emanuelli,"Teatro José M. Lugo Emanuelli, Fajardo, Puerto Rico",https://pietix.com/pa-que-te-rias
1169,245,pietix,josue-comedy-madre-latina-tour,28,Ocala Civic Theater,28|ocala civic theater,"Ocala Civic Theater, Ocala, Florida",https://pietix.com/josue-comedy-madre-latina-tour
1170,245,pietix,josue-comedy-madre-latina-tour,28,TIR Center,28|tir center,"TIR Center, Levittown, PA",https://pietix.com/josue-comedy-madre-latina-tour
1171,245,pietix,josue-comedy-madre-latina-tour,28,Parma Snow Library Auditorium,28|parma snow library auditorium,"Parma Snow Library Auditorium, Parma, Ohio",https://pietix.com/josue-comedy-madre-latina-tour
1172,245,pietix,josue-comedy-madre-latina-tour,28,SHU Community Theatre,28|shu community theatre,"SHU Community Theatre, Fairfield, Connecticut",https://pietix.com/josue-comedy-madre-latina-tour
1173,245,pietix,josue-comedy-madre-latina-tour,28,The Liberty Center,28|the liberty center,"The Liberty Center, Elizabeth, New Jersey",https://pietix.com/josue-comedy-madre-latina-tour
1174,245,pietix,josue-comedy-madre-latina-tour,28,Strand Theatre,28|strand theatre,"Strand Theatre, Boston, Massachusetts",https://pietix.com/josue-comedy-madre-latina-tour
1175,245,pietix,josue-comedy-madre-latina-tour,28,The Palace Arts Center,28|the palace arts center,"The Palace Arts Center, Grapevine, Texas",https://pietix.com/josue-comedy-madre-latina-tour
1176,245,pietix,josue-comedy-madre-latina-tour,28,Killeen Arts and Activities Center,28|killeen arts and activities center,"Killeen Arts and Activities Center, Killeen, Texas",https://pietix.com/josue-comedy-madre-latina-tour
