id,source,source_event_id,nombre,descripcion,costo,gratis,lugar,direccion,municipio_id,categoria,enlaceboletos,boletos_por_localidad,imagen,imagen_orientacion,image_crop_mode,image_focus_x,image_focus_y,image_zoom,image_focus_confidence,image_focus_source,activo
67,pietix,men-city-padre-soltero,Men And The City: Se Nos Casa El Padre Soltero,"Men And The City… es una adaptación al teatro del segmento de televisión que se transmite exitosamente por Telemundo en el programa Raymond y Sus Amigos. Este popular paso de comedia se presenta cada martes en la noche y ahora, en una versión mucho más amplia y solo para adultos, el público podrá disfrutar de una nueva situación que hará que los inseparables amigos y personajes vuelvan a la carga. En esta nueva temporada Se nos casa el padre soltero nos presenta la historia de Pedro que ha dedicado su vida a sacar adelante a sus hijos y para sorpresa de todos anuncia que piensa volver a casarse. Entre malentendidos, planes absurdos y situaciones inesperadas veremos como cada personaje afronta la posible boda del padre soltero. Esta será la quinta temporada de Men And The City en el teatro en Puerto Rico y Estados Unidos con un libreto y dirección escénica de Miguel Morales. Reglas Establecidas por la Facilidad: No se permite asistir a la facilidad en pantalones cortos. No se permite asistir a la facilidad en camisillas. No se permite utilizar gorras ni sombreros en la facilidad. No se permite utilizar chancletas en la facilidad. No se permite utilizar cámaras fotográficas ni cámaras de video. No se permite el uso de celulares dentro de la sala. No se permite el acceso a niños menores de 3 años en la facilidad. El uso de mascarillas dentro de la facilidad no es obligatorio. El uso de mascarillas está sujeto a discreción del visitante. Información Importante para los Visitantes: La Sección de Foso es por orden de llegada. Los asientos de Foso no son numerados. Las puertas abren dos (2) horas antes de la hora pautada para la función. Toda venta es final. No se realizan cambios ni devoluciones de boletos. Nos reservamos el derecho de admisión.",desde $35.00,false,Centro de Bellas Artes de Santurce,"Centro de Bellas Artes de Santurce, San Juan, Puerto Rico",65,10,https://pietix.com/men-city-padre-soltero,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/1920x1080_Pie_Tix_MATC_05c1605d9f.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
68,pietix,sidepiece2,SIDEPIECE,"⏰ 8:00 PM – 2:00 AM Get ready for the return of Sidepiece to Puerto Rico. After a sold-out debut, the duo is back… bigger, louder, and taking over dancefloors worldwide with their viral sound and unstoppable energy. Formed by Nitti Gritti and Party Favor, Sidepiece is the mind behind global hits like On My Mind, Deep End, Cry For You, and has continued to dominate the scene with new releases and their explosive Horny House Tour, selling out cities across the U.S. and beyond. Expect high-energy house, dirty drops, and a nonstop party from start to finish in one of our favorite venues… El Patio. This is not their first time in Puerto Rico… So we're going bigger. 🎟️ Ticket pricing is structured in tiers to reward early buyers. The earlier you purchase, the lower the price. Prices will increase as the event gets closer. Secure your spot now. EVENT RULES Admission is for adults 18+ only. No firearms of any kind are allowed. All attendees will undergo a security check at the entrance. By completing your purchase, you agree to comply with all event rules and conditions. No refunds or exchanges will be provided for tickets once purchased; all sales are final. PROHIBITED ITEMS 🚫 Weapons of any kind (firearms, knives, pepper spray, fireworks, etc.) 🚫 Chewing gum, Illegal substances, drugs, or drug paraphernalia 🚫 Outside food, drinks, or alcohol 🚫 Professional photo, video, or audio recording equipment 🚫 Drones, remote-controlled aircraft, or toys 🚫 Large bags, backpacks (over 12″×12″), and oversized purses 🚫 Tents, large umbrellas, chairs, or blankets 🚫 Glowsticks & illuminated costumes/jewelry 🚫 Pacifiers, dust masks, or gas masks 🚫 Laser pointers, air horns, or noisemakers 🚫 Markers, spray paint, or large chains/spiked jewelry 🚫 Stuffed animals, dolls, or toy guns/water guns 🚫 Aerosol products, liquid makeup, or glass containers 🚫 Bota bags or camelbacks 🚫 LED gloves or microlights used for light shows 🚫 Pets (except service animals)",,false,El Patio Fusion Lounge,"El Patio Fusion Lounge, Dorado, Puerto Rico",26,13,https://pietix.com/sidepiece2,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/1920x1080_5_6a4c7b324c.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
69,pietix,improjangueo,IMPRO JANGUEO,"IMPRO JANGUEO es un espectáculo de improvisación teatral donde todo comienza con una salida casual entre panas… y termina en las situaciones más inesperadas. El público decide el lugar o tema del jangueo y a partir de ahí, los improvisadores construyen historias cargadas de humor, música, complicaciones, romances fallidos, secretos revelados y decisiones que solo se toman “porque estamos en el momento”.",desde $20.00,false,IMPRO Galería,"IMPRO Galería, San Juan, Puerto Rico",65,10,https://pietix.com/improjangueo,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/Impro1920_MARZOABRILWEBP_69d4cff123.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
70,pietix,elcaco-y-elrockero,El Caco & El Rockero,"¡Dos mundos opuestos se unen para quedarse con el punto! El Caco (Julio Martínez) y El Rockero (Angel González) presentan anécdotas absurdas y perspectivas peculiares sobre la vida en Puerto Rico con stand up, invitados especiales, interacciones con el público y más.",desde $17.06,false,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",65,10,https://pietix.com/elcaco-y-elrockero,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/cr_pietix_1920x1080_682868f496.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
71,pietix,serenata-a-las-reinas,Serenata a Las Reinas,"Serenata a las reinas es una velada musical dedicada a celebrar el amor, la fortaleza y la belleza de las madres a través de las canciones que han marcado generaciones. Este viernes 15 de mayo, el escenario se llenará de emoción con un espectáculo que rinde homenaje a esas melodías que las madres aman: canciones de pasión, nostalgia y grandeza que han acompañado tantas historias de vida. Los ex participantes de la edicion 2025 de Objetivo Fama engalanan la noche con sus imponentes voces la dulzura y la grandeza de la pequeña gigante Noelyz, el garbo y la elegancia de Andrea, y la simpatía, sensibilidad y gallardía de Cristian, se unirán para crear un concierto lleno de sentimiento y momentos memorables. Entre baladas intensas, interpretaciones apasionadas y la cercanía única del espectáculo en vivo, el público vivirá una experiencia íntima y emotiva que celebra a las verdaderas reinas del hogar. Y cuando la emoción alcance su punto más alto, la noche guardará una sorpresa especial: un vibrante mariachi en vivo que acompañará a nuestros artistas en el segmento final, transformando el escenario en una auténtica serenata llena de fiesta, pasión y tradición. Serenata a las Reinas es más que un concierto; es un homenaje musical a quienes nos han dado todo.",desde $20.00,false,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",65,1,https://pietix.com/serenata-a-las-reinas,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/1920x1080_6_8b190d4397.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
72,pietix,tombola-estelar-corozal,'Standoperos' La Tómbola @ Corozal,"¡La Tómbola llega a Corozal! ¡Tú pones los temas, nosotros los chistes! La Tómbola de Standoperos es un show de stand-up donde los comediantes improvisan con los temas que tú mismo escribes en los papelitos de La Tómbola. Cada noche es distinta, impredecible y llena de risas junto a los Standoperos Cristiana Sánchez, Titito Sánchez, Ernesto Rolón y Erick Bonilla. Ven, escribe tu tema y sé parte de una noche diferente donde cualquier cosa puede pasar.",desde $27.18,false,Cine Teatro Manuel Nieves Quintero,"Cine Teatro Manuel Nieves Quintero, Corozal, Puerto Rico",24,10,https://pietix.com/tombola-estelar-corozal,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/Banners_TOMBOLA_Corozal_7_8ccf621d33.webp,horizontal,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
73,pietix,el-boricua-es-otra-cosa-gira,El Boricua es otra cosa,"""El Boricua es Otra Cosa"" con Gaby Alicea es mucho más que un espectáculo de comedia: es un viaje lleno de risas, cultura y orgullo puertorriqueño. A través de comparaciones ingeniosas y observaciones divertidas, Gaby celebra lo que distingue a los boricuas de cualquier otra cultura. Entre anécdotas, memorias y referencias a Puerto Rico, el público vivirá una experiencia cargada de identidad y buen humor. En esta presentación especial, también dirán presente sus icónicos personajes: Mami, Don Sefe y Boricuita, quienes añadirán su toque único a una noche que promete carcajadas de principio a fin.",desde $30.00,false,Tampa Scottish Rite Masonic Center,"Tampa Scottish Rite Masonic Center, Tampa, Florida",28,10,https://pietix.com/el-boricua-es-otra-cosa-gira,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/gabyboricua2026logo_1f239f2ac5.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
74,pietix,genock-imagen,Genock 'Imagen',"Desde Puerto Rico, Genock Gabriel se ha convertido en una de las voces emergentes más influyentes de la adoración contemporánea. Con un estilo auténtico y una fuerte sensibilidad espiritual, sus presentaciones crean experiencias únicas donde la música se transforma en un encuentro real con Dios. Prepárate para vivir una noche de adoración intensa, conexión y presencia. Boleto VIP incluye: Fila Exclusiva Área Preferencial",desde $30.00,false,Comunidad Aliento,"Comunidad Aliento, Bayamón, Puerto Rico",11,1,https://pietix.com/genock-imagen,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/Genock1920_aa4694eb0f.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
75,pietix,la-mudanza-puntofijo,La Mudanza,"¿Qué pasa cuando no estamos listos para los cambios? Pepe y su compañía tienen una gran responsabilidad: mudar a cuatro familias sin problemas ni líos. Sin embargo, cada hogar tiene su situación particular y nada es lo que parece. Entre comedia física, nostalgia y surrealismo, La Mudanza nos recuerda que los cambios de la vida llegan, estemos listos… o no.",desde $20.00,false,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",65,10,https://pietix.com/la-mudanza-puntofijo,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/1920_1_b52281a6d3.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
76,pietix,que-madre,¡Qué Madre!,"“¡Qué madre!” llega con Jade y Chris Schwartz en una noche de comedia sin filtro que se siente demasiado real. Entre stand-up y skits en vivo, Chris se convierte en la mamá de Jade: intensa, dramática, metiche… y peligrosamente parecida a la tuya. Prepárate para peleas exageradas, consejos que nadie pidió y momentos que te van a hacer pensar: “ok, esa es mami…” Ríete, identifícate y ven con tus amigaaas, porque este show es pa’ gritar, reírse duro y aceptar que, al final del día… todos tenemos una mai así.",desde $18.00,false,La Foresta Bar y Tapas,"La Foresta Bar y Tapas, Aguada, Puerto Rico",2,10,https://pietix.com/que-madre,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/Rosa_Blanco_y_Rojo_Moderno_Dia_de_las_Madres_Post_para_Instagram_1920_x_1080_px_fbed639595.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
