id,event_id,source,source_event_id,municipio_id,lugar,localidad_key,direccion,enlaceboletos
1886,216,prticket,5kfaderun,65,Colegio de Barberos y Estilistas de Puerto Rico,65|colegio de barberos y estilistas de puerto rico,"29 Av. Mayagüez, San Juan, 00917, Puerto Rico",https://boletos.prticket.com/events/en/5kfaderun
1887,217,prticket,aguadillapickleballcenter,3,Aguadilla,3|aguadilla,"00603, Puerto Rico",https://boletos.prticket.com/events/en/aguadillapickleballcenter
1888,218,prticket,algoextra-9,65,Café Teatro El Shorty,65|cafe teatro el shorty,"607 C. del Parque, San Juan, 00909, Puerto Rico",https://boletos.prticket.com/events/en/algoextra-9
1889,219,prticket,asalto,65,Café Teatro El Shorty,65|cafe teatro el shorty,"607 C. del Parque, San Juan, 00909, Puerto Rico",https://boletos.prticket.com/events/en/asalto
1890,220,prticket,bbq,65,Plaza de la Independencia,65|plaza de la independencia,"CW8G+F6H, San Juan, 00918, Puerto Rico",https://boletos.prticket.com/events/en/bbq
1891,221,prticket,best-jevas,65,Café Teatro El Shorty,65|cafe teatro el shorty,"607 C. del Parque, San Juan, 00909, Puerto Rico",https://boletos.prticket.com/events/en/best-jevas
1892,222,prticket,campamentoxplore360,11,Camp Explore 360,11|camp explore 360,,https://boletos.prticket.com/events/en/campamentoxplore360
1893,223,prticket,cangrejeros2026,65,Cangrejeros 2026,65|cangrejeros 2026,"154 C. Eugenio Benítez Castaño, San Juan, 00911, Puerto Rico",https://boletos.prticket.com/events/en/cangrejeros2026
1894,224,prticket,comediageek,13,Titan Games,13|titan games,"13 Calle Luis Munoz Rivera, Caguas, 00725, Puerto Rico",https://boletos.prticket.com/events/en/comediageek
1895,225,prticket,comicosanonimos,30,"Studio 58, Guayama",30|studio 58 guayama,"Bo, Pueblo esquina baldorioty, Calle Calimano Martínez, Guayama, 00785, Puerto Rico",https://boletos.prticket.com/events/en/comicosanonimos
1896,225,prticket,comicosanonimos,50,"Teatro Balboa, Mayagüez",50|teatro balboa mayaguez,"196 C. Méndez Vigo, Mayagüez, 00680, Puerto Rico",https://boletos.prticket.com/events/en/comicosanonimos
1897,226,prticket,cortaditoocapuchino,65,Abracadabra Counter Cafe,65|abracadabra counter cafe,"1651 Av. Manuel Fernández Juncos, San Juan, 00909, Puerto Rico",https://boletos.prticket.com/events/en/cortaditoocapuchino
1898,227,prticket,disneyonice,65,CRC_disney,65|crc disney,"9WVP+R3X, San Juan, 00927, Puerto Rico",https://boletos.prticket.com/events/en/disneyonice
1899,228,prticket,dragacadabra,65,Abracadabra Counter Cafe,65|abracadabra counter cafe,"1651 Av. Manuel Fernández Juncos, San Juan, 00909, Puerto Rico",https://boletos.prticket.com/events/en/dragacadabra
1900,229,prticket,elmagodeoz,65,T.Tapia - 4 precios,65|t tapia 4 precios,"4 C. Tapia, San Juan, 00911, Puerto Rico",https://boletos.prticket.com/events/en/elmagodeoz
1901,230,prticket,firstattack2026,65,First Attack,65|first attack,,https://boletos.prticket.com/events/en/firstattack2026
1902,231,prticket,gamingisland,65,Coliseito Pedrín Zorrilla General,65|coliseito pedrin zorrilla general,"CW7H+X64, Calle Nemesio R. Canales, San Juan, 00918, Puerto Rico",https://boletos.prticket.com/events/en/gamingisland
1903,232,prticket,irvingdarisho,65,Irving & Darisho,65|irving darisho,,https://boletos.prticket.com/events/en/irvingdarisho
1904,233,prticket,karmavalcuartaedicion,65,Playa El Escambrón,65|playa el escambron,"Balneario del Escambrón, San Juan, 00910, Puerto Rico",https://boletos.prticket.com/events/en/karmavalcuartaedicion
1905,234,prticket,lacomidacomoculturadialogosdesobremesa,13,Teatro del C3TEC,13|teatro del c3tec,"59 Av. José Gautier Benítez, Caguas, 00725, Puerto Rico",https://boletos.prticket.com/events/en/lacomidacomoculturadialogosdesobremesa
1906,235,prticket,lagala,65,General,65|general,"601 Avenida F.D. Roosevelt, San Juan, 00936, Puerto Rico",https://boletos.prticket.com/events/en/lagala
1907,236,prticket,lamesa,65,Facultad de Humanidades,65|facultad de humanidades,"CW2X+XXH, Av. Universidad, San Juan, 00925, Puerto Rico",https://boletos.prticket.com/events/en/lamesa
1908,237,prticket,masturbadoquetu,27,Teatro José M. Lugo Emanuelli,27|teatro jose m lugo emanuelli,"88HX+3JF, C. Celís Aguilera, Fajardo, 00738, Puerto Rico",https://boletos.prticket.com/events/en/masturbadoquetu
1909,237,prticket,masturbadoquetu,65,Teatro Francisco Arriví - 4 PRECIOS (2/2),65|teatro francisco arrivi 4 precios 2/2,"CWVM+V86, C. del Parque, San Juan, 00909, Puerto Rico",https://boletos.prticket.com/events/en/masturbadoquetu
1910,237,prticket,masturbadoquetu,50,"Teatro Yagüez, Mayagüez",50|teatro yaguez mayaguez,"2-98 C. Eduardo Riera, Mayagüez, 00682, Puerto Rico",https://boletos.prticket.com/events/en/masturbadoquetu
1911,238,prticket,natalianieves,54,CBA Naranjito - .Online,54|cba naranjito online,"7PPW+WJV, Naranjito, 00719, Puerto Rico",https://boletos.prticket.com/events/en/natalianieves
1912,239,prticket,ndi-calle,2,Bambalinas Café Teatro,2|bambalinas cafe teatro,"Sector Casualidad, Aguada, 00602, Puerto Rico",https://boletos.prticket.com/events/en/ndi-calle
1913,240,prticket,nextgenerationbigstep,71,Next Generation 2026,71|next generation 2026,"47 PR-846, Trujillo Alto, 00976, Puerto Rico",https://boletos.prticket.com/events/en/nextgenerationbigstep
1914,241,prticket,nickyjam,65,Club Brava en Fairmont El San Juan Hotel,65|club brava en fairmont el san juan hotel,"Fairmont Hotel, 6063 Av. Isla Verde, Carolina, 00979, Puerto Rico",https://boletos.prticket.com/events/en/nickyjam
1915,242,prticket,nochesdeimpro,65,Café Teatro El Shorty,65|cafe teatro el shorty,"607 C. del Parque, San Juan, 00909, Puerto Rico",https://boletos.prticket.com/events/en/nochesdeimpro
1916,243,prticket,piratas,59,Coliseo Raymond Dalmau,59|coliseo raymond dalmau,"F36C+M88, Quebradillas, 00678, Puerto Rico",https://boletos.prticket.com/events/en/piratas
1917,244,prticket,puertoricosekaijucon,36,Sekaiju,36|sekaiju,,https://boletos.prticket.com/events/en/puertoricosekaijucon
1918,245,prticket,queens-of-ring,65,Coliseito Pedrin Zorrilla,65|coliseito pedrin zorrilla,"CW7H+X64, Calle Nemesio R. Canales, San Juan, 00918, Puerto Rico",https://boletos.prticket.com/events/en/queens-of-ring
1919,246,prticket,quien-mato-a-rene,65,Teatro Tapia-Reynold,65|teatro tapia reynold,"Calle Fortaleza, FV8Q+65P, C. de la Fortaleza, San Juan, 00901, Puerto Rico",https://boletos.prticket.com/events/en/quien-mato-a-rene
1920,246,prticket,quien-mato-a-rene,65,"Teatro Yagüez, Raynold",65|teatro yaguez raynold,"2-98 C. Eduardo Riera, Mayagüez, 00682, Puerto Rico",https://boletos.prticket.com/events/en/quien-mato-a-rene
1921,247,prticket,rickycolonencomplicidad,13,Moneró - .Online,13|monero online,"Calle Padial, Esq. Ruiz Belvis 3er Nivel, Centro de Bellas Artes de Caguas, Caguas, 00725, Puerto Rico",https://boletos.prticket.com/events/en/rickycolonencomplicidad
1922,248,prticket,showdejossiedeguzman,65,T.Tapia - 4 precios,65|t tapia 4 precios,"4 C. Tapia, San Juan, 00911, Puerto Rico",https://boletos.prticket.com/events/en/showdejossiedeguzman
1923,249,prticket,tallerdemarketing,65,Saffra Cowork,65|saffra cowork,"Edificio ILA, 1055 John Fitzgerald Kennedy Expy, San Juan, 00920, Puerto Rico",https://boletos.prticket.com/events/en/tallerdemarketing
1924,250,prticket,tradicionalbailepadres,65,Producciones Arriaga,65|producciones arriaga,"408 Av. José Fidalgo Díaz, San Juan, 00912, Puerto Rico",https://boletos.prticket.com/events/en/tradicionalbailepadres
1925,251,prticket,vip-parking,65,Parking VIP,65|parking vip,"Calle Joaquina, #19 Marginal Los Ángeles, Carolina, 00979, Puerto Rico",https://boletos.prticket.com/events/en/vip-parking
1926,252,prticket,wwcaniversario53,65,WWC,65|wwc,"570 Av. Lic. Eugenio María de Hostos, San Juan, 00918, Puerto Rico",https://boletos.prticket.com/events/en/wwcaniversario53
1927,253,prticket,yaireenaniversario,54,Centro de Bellas Artes de Naranjito,54|centro de bellas artes de naranjito,"#97 C. Georgetti, Naranjito, 00719, Puerto Rico",https://boletos.prticket.com/events/en/yaireenaniversario
1928,253,prticket,yaireenaniversario,58,"Studio 58, Ponce",58|studio 58 ponce,"58 C. Sol, Ponce, 00730, Puerto Rico",https://boletos.prticket.com/events/en/yaireenaniversario
1929,253,prticket,yaireenaniversario,6,"Rancho Grande, Añasco",6|rancho grande anasco,"Carretera 401 Sector La Puente Bo, Añasco, 00610, Puerto Rico",https://boletos.prticket.com/events/en/yaireenaniversario
1930,253,prticket,yaireenaniversario,41,Cine Teatro Juventud - Lajas,41|cine teatro juventud lajas,"2WVR+M78, Lajas, 00667, Puerto Rico",https://boletos.prticket.com/events/en/yaireenaniversario
