id,source,source_event_id,nombre,descripcion,costo,gratis,lugar,direccion,municipio_id,categoria,enlaceboletos,boletos_por_localidad,imagen,imagen_orientacion,image_crop_mode,image_focus_x,image_focus_y,image_zoom,image_focus_confidence,image_focus_source,activo
142,prticket,5kfaderun,5K Fade & Run,"5K Fade & Run 🗓️ Domingo, 28 de junio de 2026 ⏰ 6:00 AM (Con concentración de corredores desde las 5:00 AM) 📍 Salida y meta frente al Colegio de Barberos y Estilistas de Puerto Rico, Hato Rey, San Juan, Puerto Rico (recorrido por avenidas principales del área) Precio: Inscripción: $35.00 + c.s.",$35.00,false,Colegio de Barberos y Estilistas de Puerto Rico,"Colegio de Barberos y Estilistas de Puerto Rico, San Juan, San Juan",65,3,https://boletos.prticket.com/events/en/5kfaderun,false,https://boletos.prticket.com/events/img_web/3/602/2351/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
143,prticket,aguadillapickleballcenter,Aguadilla Pickleball Center,"Aguadilla Pickleball Center ¡El mejor spot de Pickleball en el west! 🎾 En Aguadilla Pickleball Center, te invitamos a vivir una experiencia única con las mejores canchas, un ambiente vibrante y amistoso, y todas las comodidades que necesitas para disfrutar al máximo de este deporte. Tanto si eres principiante como si ya eres todo un experto, nuestras canchas están listas para brindarte la mejor experiencia de juego y momentos inolvidables. Compra tus boletos, reserva tu cancha y únete a nuestra comunidad de jugadores. ¡El oeste nunca había vibrado tanto con el pickleball! 🎟 Venta de boletos y reservas disponibles ahora 📍 ¡Te esperamos en el corazón de Aguadilla! Ubicación: Carr PR-442 km 4.2, Aguadilla, 00603, Puerto Rico https://maps.app.goo.gl/gyQKrhC3xrMuT2vC6?g_st=ig Costo por cancha: $25.00 + IVU Duración: 1 hora y 30 minutos ⏰ Horario: Lunes, Martes y Miércoles 4:00 p.m. – 10:00 p.m. Sábado y Domingo 7:00 a.m. – 11:30 a.m 🏓 Reglas: Aguadilla Pickleball Center Para garantizar una experiencia segura, organizada y agradable para todos, te pedimos seguir las siguientes reglas: 👥 Uso de Canchas Mínimo 2 personas por cancha. Máximo 4 personas por cancha (dobles). El tiempo de uso por reservación es de 1 hora y 30 minutos. 🍽️ Comida y Bebidas No se permite comida dentro del área de las canchas. Solo se permiten bebidas en envases cerrados o deportivos. Mantén el área limpia: usa los zafacones disponibles para desechar basura. 🐶 Mascotas No se permiten mascotas dentro del área de juego por razones de seguridad e higiene. Las mascotas deben permanecer fuera del perímetro de las canchas y bajo supervisión. 🎾 Equipo y Juego Usa calzado deportivo adecuado (no sandalias, tacos ni calzado abierto). Respeta las reglas básicas del pickleball. Sé puntual con tu reserva, si aplica. 🤝 Conducta General Respeta a otros jugadores en todo momento. Lenguaje ofensivo, actitudes agresivas o conducta irrespetuosa no serán toleradas. Este es un espacio familiar: mantén un ambiente positivo y amigable. 🚫 Prohibiciones Adicionales No se permite fumar, vapear ni consumir alcohol en las instalaciones. No está permitido colgarse o apoyarse sobre las redes. No se permite música alta o dispositivos de sonido que interfieran con otros jugadores. Gracias por respetar estas reglas. ¡Disfruta del juego y ayúdanos a mantener el Aguadilla Pickleball Center como un lugar seguro y divertido para todos!",$25.00,false,Aguadilla,"Carr PR-442 km 4.2, Aguadilla, 00603, Puerto Rico - Aguadilla (Aguadilla)",3,3,https://boletos.prticket.com/events/en/aguadillapickleballcenter,false,https://boletos.prticket.com/events/img_web/3/540/2026/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
144,prticket,algoextra-9,Algo Extra,,,false,Enumerado con 2 precios,San Juan @ Enumerado con 2 precios,65,7,https://boletos.prticket.com/events/en/algoextra-9,false,https://boletos.prticket.com/events/img_web/3/4/1323/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
145,prticket,asalto,Asalto,"Asalto Una historia llena de enredos e identidades confundidas, con el tono humorístico e irreverente de Teatro Breve. El dueño y presidente de una empresa puertorriqueña está por retirarse y no se sabe a quién le dejará la compañía. En una fiesta navideña se encuentran sus hijos, su nueva esposa y su ex, además de un empresario que posiblemente asumirá la presidencia de la compañía. Es en esta fiesta donde el complot de uno de los hijos para quedarse con la empresa saldrá totalmente mal, en un error tras otro lleno de comedia. 🗓️ Desde el 10 de Marzo de 2026 - ⏰ 8:00pm 📍 Teatro Shorty Castro en Santurce, San Juan, Puerto Rico Precios: Planta Baja - $20.00 + ivu & c.s. Planta Alta - $15.00 + ivu & c.s.",desde $15.00,false,Enumerado con 2 precios+ Vision Limitada,San Juan @ Enumerado con 2 precios+ Vision Limitada,65,10,https://boletos.prticket.com/events/en/asalto,false,https://boletos.prticket.com/events/img_web/3/4/2301/m_banner.webp,horizontal,cover,0.5,0.22,1.07,96,prticket_override_v1,true
146,prticket,bbq,BBQ Grilling War,"BBQ Grilling War 🗓️ Sábado, 13 de Junio de 2026 ⏰ 12:00 PM 📍Plaza de la Independencia, San Juan PR Para más detalles, entra a su Instagram: BBQ GRILLING WARS Precio: General: $35.00 + ivu + c.s. VIP: $49.00 + ivu + c.s. Niños de 4 años o menos, gratis.",desde $35.00,false,Plaza de la Independencia,"Plaza de la Independencia, San Juan PR",65,5,https://boletos.prticket.com/events/en/bbq,false,https://boletos.prticket.com/events/img_web/3/32/1974/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
147,prticket,best-jevas,Lo Mejor de Noche de Jevas,"Lo Mejor de Noche de Jevas Lo mejor de Noche de Jevas” con tus sketches favoritos y también zumbaremos con unos nuevos. Te aseguramos que si eres fan desde el principio este show es para ti, y si conoces gente que ha vivido debajo de una piedra en estos últimos años, tráelos y conviértelos. Comenzando el 5 de marzo de 2026 @ Café Teatro El Shorty, Santurce Precios: Preventa Planta Baja - $40.00 - $46.00 + ivu & c.s Preventa Planta Alta: $36.00 + ivu & c.s",desde $36.00,false,Enumerado con 2 precios+ Vision Limitada,San Juan @ Enumerado con 2 precios+ Vision Limitada,65,10,https://boletos.prticket.com/events/en/best-jevas,false,https://boletos.prticket.com/events/img_web/3/4/1361/m_banner.webp,horizontal,cover,0.5,0.2,1.08,96,prticket_override_v1,true
148,prticket,campamentoxplore360,Campamento Xplore 360,"Campamento Xplore 360 🗓️1ro de junio al 10 de julio de 2026 • Días: Lunes a viernes ⏰ 8:00 AM – 3:00 PM ⏰ Horario Extendido: 3:00 PM – 5:00 PM (costo adicional) • Edades: 7 a 14 años • Field trips: Todos los viernes (costo adicional) 📍Parque de las Ciencias, Bayamón, PR ACTIVIDADES STEM + EDUCACIÓN • Biólogo por un día (con el santuario de animales) • Charlas educativas y experiencias con animales • Estudio de los astros • Taller de mecánica (con experto del Antique Automobile Club PR) • Competencia de Hot Wheels (crea tu pista) • Competencia de LEGO • Show interactivo de Nutty Scientist • Certificación de horas verdes y servicio comunitario DEPORTES • Dodgeball • Basketball • Pickleball • Fútbol • Hockey • ¡Y muchos más! MÚSICA + BAILE • Bailes típicos: Salsa, Bomba, Plena, Merengue • Bailes internacionales: Jazz, Hip Hop • Talleres de música • Creación de canciones propias TEATRO + FILMACIÓN • Taller de historias • Grabación de películas • Estación de teatro DIVERSIÓN • Waterpark + Playground • Sala de cine • Lago de botes (Pirate Zone + competencias) • Treasure Hunt con los Taínos • Búsqueda de dulces típicos en Ciudad Torito • Field trips todos los viernes (costo adicional) Campamento Xplore 360 no es un campamento tradicional. Aquí, los niños no están limitados a un salón…exploran TODO el Parque de las Ciencias. Es una experiencia 360° donde cada día: • Aprenden algo distinto • Prueban nuevas habilidades • Descubren lo que realmente les apasiona Desde ciencia, deportes, arte, hasta cultura…todo en un solo lugar. Y hay algo más importante… este campamento no solo impacta al niño…El niño también deja una huella en el mundo. Con oportunidades reales para: • Certificar horas de contacto verde • Participar en servicio comunitario Esto es crecimiento real. Esto es experiencia real. Esto es Xplore 360. PRECIOS • Reserva de espacio: $75.00 • 2 semanas: $495.00 • 4 semanas: $950.00 • Campamento completo: $1,225.00 DESCUENTO PARA HERMANOS DISPONIBLE! *Llamar directamente al Parque de las Ciencias para coordinar tu reservación y aplicar el descuento! Horario extendido: $50 por semana Durante los días del campamento: - El parque estará cerrado al público - Solo estarán los participantes del campamento Esto significa: • Ambiente controlado • Mayor supervisión • Interacción únicamente con directores certificados",desde $50.00,false,Camp Explore 360,Bayamón @ Camp Explore 360,11,4,https://boletos.prticket.com/events/en/campamentoxplore360,false,https://boletos.prticket.com/events/img_web/3/596/2356/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
149,prticket,cangrejeros2026,Cangrejeros de Santurce,Baloncesto Superior Nacional - Temporada 2026 Cangrejeros de Santurce - Temporada 2026 Precios: Arena: SOLD OUT Palco: SOLD OUT Preferencia Norte y Sur: $26.00 + ivu + c.s. Preferencia Este y Oeste: $18.00 + ivu + c.s. General: $12.00 + ivu + c.s.,desde $12.00,false,Cangrejeros 2026,San Juan @ Cangrejeros 2026,65,3,https://boletos.prticket.com/events/en/cangrejeros2026,false,https://boletos.prticket.com/events/img_web/3/12/2058/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
150,prticket,comediageek,Comedia Geek,"Comedia Geek Si te gustan los videojuegos, el anime, los cómics y todo lo nerd… este show es para ti. Comedia Geek es un espectáculo de stand-up donde Damián del Futuro convierte el mundo geek en pura comedia. Desde referencias a cultura pop hasta experiencias reales como gamer, fan y sobreviviente de debates inútiles en internet… nada se salva. Prepárate para reírte de todo eso que amas: las consolas, los fandoms intensos, las películas que defendemos demasiado… y esas obsesiones que solo otro geek entiende. Un show para los que crecieron jugando, viendo anime, leyendo cómics… o simplemente para los que quieren reírse de ese universo. 🗓️ viernes, 12 de junio de 2026 ⏰ 8:00 PM 📍 Titan Games, Caguas, Puerto Rico Precio: General: $20.00 ivu & c.s. incluidos",$20.00,false,Titan Games,Caguas @ Titan Games,13,10,https://boletos.prticket.com/events/en/comediageek,false,https://boletos.prticket.com/events/img_web/3/604/2359/m_banner.webp,horizontal,cover,0.5,0.24,1.08,72,prticket_auto_v1,true
151,prticket,comicosanonimos,Cómicos Anónimos,"Cómicos Anónimos Si tu vicio es la risa, ven a recaer con nosotros. Cómicos Anónimos es casi una terapia grupal donde los comediantes más desajustados confesarán sus defectos más graciosos, sus manías más absurdas y los secretos que jamás contarían sobrios. Aquí en Cómicos Anónimos, admitir que estamos jodíos es el primer paso… y el segundo es reírnos del primero juntos. Comediantes: Oscar Navarro Angel Lacomba Maurim Chiclana Adrian Castellar Damian Del Futuro 🗓️ viernes, 15 y sábado 16 de mayo de 2026 ⏰ 8:00 PM 📍Lugar Secreto en Cupey, San Juan, Puerto Rico Precio: General - $40.00 (incluye ivu y c.s.) 🗓️ sábado, 30 de mayo de 2026 ⏰ 8:00 PM 📍Studio 58 en Guayama, Puerto Rico Precio: General - $25.00 (incluye ivu y c.s.) 🗓️ sábado, 13 de junio de 2026 ⏰ 8:00 PM 📍Teatro Balboa en Mayagüez, Puerto Rico Precio: General - $25.00 (incluye ivu y c.s.) Cómicos Anónimos: Pa' qué resolver tus problemas? Si puedes ignorarlos un ratito con nosotros 😉",desde $25.00,false,"Studio 58, Guayama","Studio 58, Guayama",30,10,https://boletos.prticket.com/events/en/comicosanonimos,false,https://boletos.prticket.com/events/img_web/3/176/2304/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
