evento_id_temp,source_event_id,url,nombre_final,categoria_origen_boleteria,categoria_inferida_script,categoria_final_id,categoria_final_nombre,usa_sesiones_compra,total_sesiones_detectadas,total_venues_detectadas,municipio_principal_id,municipio_principal_nombre,municipios_detectados_en_venues,municipios_detectados_en_sesiones,lugar_principal,direccion_principal,total_fechas_finales,primera_fecha,ultima_fecha
67,vaqueros-de-bayamon-bsn-2026-temporada-regular,https://www.ticketera.com/events/detail/vaqueros-de-bayamon-bsn-2026-temporada-regular,Vaqueros de Bayamon BSN 2026 - Temporada Regular,Vaqueros de Bayamon BSN 2026 emg sports vaqueros de bayamon bsn,Vaqueros de Bayamon BSN 2026 emg sports vaqueros de bayamon bsn,3,,true,7,1,11,Bayamón,11,11,Coliseo Rubén Rodríguez,"Coliseo Rubén Rodríguez, Bayamón",7,2026-05-12,2026-06-25
68,ed-sheeran,https://www.ticketera.com/events/detail/ed-sheeran,Ed Sheeran,"coliseo, noah asaad, cpr, coliseo, ed sheeran","coliseo, noah asaad, cpr, coliseo, ed sheeran",13,,true,1,1,65,San Juan,65,65,Coliseo de Puerto Rico,"Coliseo de Puerto Rico, San Juan",1,2026-05-13,2026-05-13
69,gigantes-bsn-2026-temporada-regular,https://www.ticketera.com/events/detail/gigantes-bsn-2026-temporada-regular,Gigantes BSN 2026 - Temporada Regular,"gigantes, bsn, canonvanas, carolina, hector horta","gigantes, bsn, canonvanas, carolina, hector horta",14,,true,1,1,15,Canóvanas,15,15,Coliseo Carlos Miguel Mangual,"Coliseo Carlos Miguel Mangual, Canóvanas",1,2026-05-14,2026-05-14
70,laura-pausini-world-tour,https://www.ticketera.com/events/detail/laura-pausini-world-tour,Laura Pausini “ Yo Canto World Tour”,laura pausini world tour coliseo de puerto rico mayo 2026 tony mojena,laura pausini world tour coliseo de puerto rico mayo 2026 tony mojena,15,,true,1,1,65,San Juan,65,65,Coliseo de Puerto Rico,"Coliseo de Puerto Rico, San Juan",1,2026-05-14,2026-05-14
71,los-tigres-del-norte,https://www.ticketera.com/events/detail/los-tigres-del-norte,Los Tigres del Norte,los tigres del norte coca cola music hall puerto rico ccmh la loteria,los tigres del norte coca cola music hall puerto rico ccmh la loteria,1,,true,1,1,65,San Juan,65,65,Coca-Cola Music Hall,"Coca-Cola Music Hall, San Juan",1,2026-05-15,2026-05-15
72,aterciopelados,https://www.ticketera.com/events/detail/aterciopelados,Aterciopelados: La Pipa de la Paz,aterciopelados la pipa de la paz cba santurce shownet group,aterciopelados la pipa de la paz cba santurce shownet group,16,,true,1,1,65,San Juan,65,65,CBA Santurce,"CBA Santurce, San Juan",1,2026-05-15,2026-05-15
73,asi-o-mas-vulgar,https://www.ticketera.com/events/detail/asi-o-mas-vulgar,Así o Más Vulgar,"comedia, edgardo soto, bayamon, teatro braulio castillo, asi o mas vulgar","comedia, edgardo soto, bayamon, teatro braulio castillo, asi o mas vulgar",7,,true,3,1,11,Bayamón,11,11,Teatro Braulio Castillo,"Teatro Braulio Castillo, Bayamón",3,2026-05-16,2026-05-17
74,uagm-food-fest-2026,https://www.ticketera.com/events/detail/uagm-food-fest-2026,UAGM Food Fest 2026,"uaman production, ana g mendez, carolina, uagm, recinto de carolina, food fest","uaman production, ana g mendez, carolina, uagm, recinto de carolina, food fest",8,,true,1,1,16,Carolina,16,16,"UAGM, Recinto de Carolina","UAGM, Recinto de Carolina",1,2026-05-16,2026-05-16
75,esto-si-es-un-show,https://www.ticketera.com/events/detail/esto-si-es-un-show,Esto Sí Es Un Show,"Esto Sí Es Un Show Producciones Girasol, Inc. CBA Santurce esto si es un show cba santurce teatro yaguez mayaguez teatro ideal yauco cba san sebastian","Esto Sí Es Un Show Producciones Girasol, Inc. CBA Santurce esto si es un show cba santurce teatro yaguez mayaguez teatro ideal yauco cba san sebastian",7,,true,4,3,50,Mayagüez,50|67|78,50|67|78,Teatro Yagüez,"Teatro Yagüez, Mayagüez",4,2026-05-16,2026-05-24
76,jonathan-barber-vision-ahead,https://www.ticketera.com/events/detail/jonathan-barber-vision-ahead,Jonathan Barber & Vision Ahead,jonathan barber vision ahead teatro inter metro Pro Arte Musical univerisidad interamericana recinto metropolitana,jonathan barber vision ahead teatro inter metro Pro Arte Musical univerisidad interamericana recinto metropolitana,1,,true,1,1,65,San Juan,65,65,Teatro Inter Metro,"Teatro Inter Metro, San Juan",1,2026-05-16,2026-05-16
77,grupo-mania-the-originals,https://www.ticketera.com/events/detail/grupo-mania-the-originals,Grupo Mania - The Originals,Grupo Mania - The Originals Eric Duars LLC CPR Choliseo Coliseo de Puerto Rico cpr,Grupo Mania - The Originals Eric Duars LLC CPR Choliseo Coliseo de Puerto Rico cpr,17,,true,1,1,65,San Juan,65,65,Coliseo de Puerto Rico,"Coliseo de Puerto Rico, San Juan",1,2026-05-16,2026-05-16
