url,nombre,categoria_raw,motivo,descripcion_preview
https://www.ticketera.com/events/detail/festival-de-videodanza-en-puerto-rico,Festival de Videodanza de Puerto Rico,festival de videodanza en puerto rico museo de arte de puerto rico visionaire,Sin sesiones concretas con fecha/hora,"Festival Videodanza de Puerto Rico 2026 — 4ta Edición
La cuarta edición del Festival Videodanza de Puerto Rico se celebrará del miércoles 13 al viernes 15 de mayo de 2026 en el Museo de Arte de Puerto Rico. El evento reunirá a artistas de más de 25 países en una programación que "
https://www.ticketera.com/events/detail/love-under-the-stars,Love Under The Stars,Experiencia,Sin sesiones mapeables a municipios,"Love Under the Stars A Starry Concerts Experience
A live string quartet under the open night sky. The most beloved melodies of love — from Bach and Debussy to Cinema Paradiso, Bésame Mucho, and Ed Sheeran — reimagined for strings in a breathtaking setting. Limited to 150 guests. "
https://www.ticketera.com/events/detail/juventud-13,JUVENTUD 1+3,"peter promotions, ccmh, cocacola, cristiano, gospel, Dios, juventud 1+3",Sin sesiones concretas con fecha/hora,"Accesibilidad (ADA):
Para asistencia con la compra de boletos en el área ADA, favor de comunicarse con el Coca-Cola Music Hall al 787-425-0900. Al adquirir boletos en esta sección, el comprador acepta presentar una tarjeta de impedido o carné válido el día del evento como requisi"
https://www.ticketera.com/events/detail/sneakercon,Sneaker Con P.R.,sneakercon centro de convenciones de puerto rico re create group inc,Sin sesiones concretas con fecha/hora,"Sneaker Con llega a Puerto Rico por primera vez este sábado, 1 y domingo, 2 de agosto de 2026, trayendo el evento de sneakers más grande del mundo a una nueva audiencia.
Durante dos días, Sneaker Con Puerto Rico reúne a compradores, vendedores y coleccionistas en un marketplace d"
https://www.ticketera.com/events/detail/puerto-rico-international-futsal-championship-1,Puerto Rico International Futsal Championship,"soccer, futball, futbol, futsal, centro convenciones, capital entertainment, pr international championship",Sin sesiones concretas con fecha/hora,"El Puerto Rico International Futsal Championship es el evento más grande e importante de Futsal en ambas ramas, en las categorías Infantiles, Juveniles y Adultos, en Puerto Rico y el Caribe. Por segunda vez, jugadores locales e internacionales podrán mostrar su talento en la disc"
https://www.ticketera.com/events/detail/gamergy-pr-2026,Gamergy PR 2026,"Gamergy PR 2026 El Tercer Hombre, Inc. Puerto Rico Convention Center Centro de Convencionespuerto rico comic con gaming",Sin sesiones concretas con fecha/hora,"Puerto Rico Comic Con presenta: Gamergy 2026. ¡El evento de gaming que estabas esperando! Este 29 y 30 de agosto de 2026 en el Centro de Convenciones de Puerto Rico. Ven con tus amigos y familia para disfrutar de un fin de semana lleno de sorpresas.
Gamergy 2026 contará con activ"
https://www.ticketera.com/events/detail/puerto-rico-fragrance-expo,Puerto Rico Fragrance Expo,"perfumes, centro covenciones, distrito, fragrancias, guly events",Sin sesiones concretas con fecha/hora,"Puerto Rico Fragrance Expo : El evento de fragancias más grande del Caribe.
Sumérgete en un mundo de aromas, elegancia e innovación en la primera edición del Puerto Rico Fragrance Expo, un evento único donde las mejores marcas, expertos de la industria, creadores, y amantes de la"
https://www.ticketera.com/events/detail/festival-casals-2026,Festival Casals de Puerto Rico 2026,festival casals 2026 cba santurce sala sinfonica corp de la orquesta sinfonica de puerto rico conservatorio de musica,Sin sesiones concretas con fecha/hora,"Estos eventos se llevará a cabo en CBA Santurce en la Sala Sinfónica Pablo Casals . Con excepción del Martes, 2 de junio de 2026, lo cual se llevará a cabo en el Conservatorio de Música de Puerto Rico: Teatro Bertita y Guillermo Martínez en la Sala Jesús María Sanromá."
https://www.ticketera.com/events/detail/convencion-tu-musica-urbano-mix-2026,Convención Tu Música Urbano Mix 2026,Charla / Conferencia,Sin sesiones mapeables a municipios,"Evento para mayores de 14 años.

La Convención Tu Música es el punto de encuentro clave de la industria musical latina en Puerto Rico, donde convergen artistas, ejecutivos, creadores y marcas para analizar, aprender y conectar en torno al presente y futuro del negocio musical.
Du"
https://www.ticketera.com/events/detail/expo-bodas-puerto-rico-2026,Expo Bodas Puerto Rico 2026,Ferias,Sin sesiones mapeables a municipios,"¡Bienvenidos a EXPO BODAS PUERTO RICO 2026!
Ven a descubrir todo lo que necesitas para tu boda en un solo lugar. Te esperamos el 23 de agosto de 2026 a las 9:30 AM en la Fundación Luis Muñoz Marín. Será un día lleno de inspiración, proveedores increíbles y muchas sorpresas para q"
