nombre_lugar,municipio_id,fuente_scraper,enlaceboletos,motivo
Coliseo Boxístico Pedro Rodríguez Gaya,17,prticket,https://boletos.prticket.com/events/en/3raedicionmuaythai,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
AGUA SOL Y SERENO,65,prticket,https://boletos.prticket.com/events/en/7vecessiete,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Teatro de la Universidad de Puerto Rico,65,prticket,https://boletos.prticket.com/events/en/anastasiaedicionjuvenil,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Teatro Shorty Castro en Santurce,65,prticket,https://boletos.prticket.com/events/en/asalto,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Centro de Convenciones P.R.,65,prticket,https://boletos.prticket.com/events/en/asianspringfest2026,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Segundo Nivel de Plaza las Américas (Antiguo Sears),65,prticket,https://boletos.prticket.com/events/en/babyexpo,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Cancha Gelito Ortega,54,prticket,https://boletos.prticket.com/events/en/batallaenlamontana,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Coliseito Pedrin Zorrilla,65,prticket,https://boletos.prticket.com/events/en/big-time,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Coliseo Roberto Clemente,65,prticket,https://boletos.prticket.com/events/en/cangrejeras,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Centro de Convenciones de Puerto Rico,65,prticket,https://boletos.prticket.com/events/en/caribbean2026,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Teatro Braulio Castillo,11,prticket,https://boletos.prticket.com/events/en/carlossanchezenpr,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Abracadabra Counter Café en Santurce,65,prticket,https://boletos.prticket.com/events/en/cortaditoocapuchino,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Plaza de la Independencia,65,prticket,https://boletos.prticket.com/events/en/dnz26,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Abracadabra Counter Café en Santurce,65,prticket,https://boletos.prticket.com/events/en/dragacadabra,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Centro de Bellas Artes de Santurce,65,prticket,https://boletos.prticket.com/events/en/elaumento,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Teatro de la Universidad Interamericana de Bayamón,11,prticket,https://boletos.prticket.com/events/en/enamoradosdelafe,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Sala del Tribunal en el Teatro Tapia,65,prticket,https://boletos.prticket.com/events/en/enchaquetaocomedyshows2,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Coliseo Roberto Clemente,65,prticket,https://boletos.prticket.com/events/en/fiba2026,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Coliseo José Marrón Aponte,5,prticket,https://boletos.prticket.com/events/en/itf-aibonito,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
Coliseo Francisco “Pancho” Deida,34,prticket,https://boletos.prticket.com/events/en/itfeslapelea,REQUEST_DENIED: API keys with referer restrictions cannot be used with this API.
